season,row_count,generated_at_utc,source
2016,713,2026-09-10 03:20:15 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,720,2026-09-10 03:21:59 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,731,2026-09-14 21:45:42 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,709,2026-09-14 21:22:11 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,596,2026-09-14 21:51:06 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,733,2026-09-14 22:07:30 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,720,2026-09-14 21:05:06 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,730,2026-09-14 21:27:21 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,718,2026-09-14 21:32:45 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,759,2026-09-14 21:38:10 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,200,2026-09-17 11:47:16 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
