season,row_count,generated_at_utc,source
2015,1432,2026-09-10 03:19:24 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2016,1399,2026-09-10 03:20:56 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,1508,2026-09-10 03:22:42 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,1547,2026-09-10 03:24:27 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,1545,2026-09-10 03:26:17 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,1594,2026-09-10 03:28:01 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,1968,2026-09-10 03:29:49 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,1979,2026-09-10 03:31:41 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,1987,2026-09-10 03:33:31 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,1962,2026-09-10 03:35:20 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,1978,2026-09-10 03:37:05 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,306,2026-09-12 15:51:30 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
