season,row_count,generated_at_utc,source
2019,341,2026-09-14 21:24:35 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,2711,2026-09-14 21:08:07 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
