season,season_type,week,game_id,play_id,side,is_playtime_play,is_no_play,play_type,quarter,down,yards_to_go,possession_team_id,game_clock,receiver_location_type,is_ball_carrier,is_offense_play,is_defense_play,is_st_play,is_lined_up_as_qb,was_running_route,was_blitzing,gsis_id,display_name,short_name,esb_id,position_group,position,jersey_number,current_team_id,gsis_it_id,first_name,last_name,football_name,suffix,player_name,ngs_position,ngs_position_group,uniform_number,team_id,status,headshot,defender_location,smart_id,is_st_ball_carrier
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,RIGHT_TIGHT,false,true,false,false,false,false,,00-0028002,Randall Cobb,R.Cobb,COB365535,WR,WR,18,2120,37139,Randall,Cobb,Randall,II,Randall Cobb,TE,TE,18,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lgdqefi7aa9lqoxgf5ru,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,true,false,,00-0033537,Deshaun Watson,D.Watson,WAT338355,QB,QB,4,2120,44824,Derrick,Watson,Deshaun,,Deshaun Watson,QB,QB,04,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mhxyoenptb2tmz0ye3kc,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,false,false,,00-0032969,Nick Martin,N.Martin,MAR685408,OL,C,66,2120,43339,Nicolas,Martin,Nick,,Nick Martin,C,OL,66,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mlsf9apto9mplnyridfs,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,RIGHT_WIDE,false,true,false,false,false,false,,00-0033127,Will Fuller,W.Fuller,FUL503598,WR,WR,15,2120,43310,William,Fuller,Will,V,Will Fuller,WR,WR,15,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/dgemxvhu8ffqmvmqczks,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,false,false,,00-0035245,Max Scharping,M.Scharping,SCH083616,OL,T,74,2120,47838,Max,Scharping,Max,,Max Scharping,G,OL,74,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/x1c0c495g8tm0ujfhriw,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,false,false,,00-0035234,Tytus Howard,T.Howard,HOW432152,OL,T,71,2120,47806,Tytus,Howard,Tytus,,Tytus Howard,T,OL,71,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/uzvg6py6kzplzbid6msp,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,false,false,,00-0032380,Laremy Tunsil,L.Tunsil,TUN565442,OL,T,78,2120,43302,Laremy,Tunsil,Laremy,,Laremy Tunsil,T,OL,78,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/w5i57s0o3jhdew4y49ec,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,BACKFIELD,true,true,false,false,false,false,,00-0032187,David Johnson,Da.Johnson,JOH174477,RB,RB,31,2120,42429,David,Johnson,David,,David Johnson,RB,RB,31,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xhkqvvkq3awveyhv0x4e,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,,false,true,false,false,false,false,,00-0030997,Zach Fulton,Z.Fulton,FUL770022,OL,G,73,2120,41422,Zachery,Fulton,Zach,,Zach Fulton,G,OL,73,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/y0ftrkirtwle8tfjaghn,,,
2020,REG,1,2020091000,590,away,true,false,play_type_rush,1,2,1,2120,05:02,LEFT_WIDE,false,true,false,false,false,false,,00-0030085,Kenny Stills,K.Stills,STI417540,WR,WR,12,2120,40092,Kenneth,Stills,Kenny,Jr.,Kenny Stills,WR,WR,12,2120,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jiskw51tpkh1lxp9fe6d,,,
