season,season_type,week,game_id,play_id,side,is_playtime_play,is_no_play,play_type,quarter,down,yards_to_go,possession_team_id,game_clock,defender_location,is_ball_carrier,is_offense_play,is_defense_play,is_st_play,is_lined_up_as_qb,was_running_route,gsis_id,display_name,short_name,esb_id,position_group,position,jersey_number,current_team_id,gsis_it_id,smart_id,first_name,last_name,football_name,suffix,player_name,ngs_position,ngs_position_group,team_id,status,headshot,receiver_location_type,was_blitzing,is_st_ball_carrier
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,RIGHT_INTERIOR_LINE,false,false,true,false,false,false,00-0033868,Myles Garrett,M.Garrett,GAR528896,DL,DE,95,1050,44813,32004741-5252-8896-2c1d-5aafec7d47e8,Myles,Garrett,Myles,,Myles Garrett,INTERIOR_LINE,DL,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wws0tkjdhz6xmo4cbxbc,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,LEFT_INTERIOR_LINE,false,false,true,false,false,false,00-0032566,Trevon Coley,T.Coley,COL378757,DL,DT,93,1050,43686,3200434f-4c37-8757-e081-012bcf9516bd,Trevon,Coley,Trevon,,Trevon Coley,INTERIOR_LINE,DL,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pnbg3sdkhetdilasaur8,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,RIGHT_EDGE_RUSHER,false,false,true,false,false,false,00-0033076,Derrick Kindred,D.Kindred,KIN192537,DB,SS,26,1050,43418,32004b49-4e19-2537-a82c-dc2f34fad8fc,Derrick,Kindred,Derrick,Jr.,Derrick Kindred,EDGE,DL,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xiwa1wri68fwnbuvn3qp,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,RIGHT_INSIDE_LINEBACKER,false,false,true,false,false,false,00-0033125,Joe Schobert,J.Schobert,SCH425646,LB,MLB,53,1050,43388,32005343-4842-5646-1190-b0a27a5ab760,Joseph,Schobert,Joe,,Joe Schobert,MLB,LB,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xpjqg8kxki9whksb2gxu,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,LEFT_EDGE_RUSHER,false,false,true,false,false,false,00-0033073,Emmanuel Ogbah,E.Ogbah,OGB059326,DL,DE,90,1050,43321,32004f47-4205-9326-5bb4-da9cac2ef120,Emmanuel,Ogbah,Emmanuel,,Emmanuel Ogbah,EDGE,DL,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/f8ytfuveiuwnx3t5zm7v,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,SAFETY,false,false,true,false,false,false,00-0032251,Damarious Randall,D.Randall,RAN052747,DB,CB,23,1050,42373,32005241-4e05-2747-893f-1a139ed1aa96,Damarious,Randall,Damarious,,Damarious Randall,HIGH_SAFETY,DB,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xc7etkcqfpjxubcxutkp,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,RIGHT_WIDE,false,false,true,false,false,false,00-0031097,Terrance Mitchell,T.Mitchell,MIT731784,DB,CB,39,1050,41483,32004d49-5473-1784-ea28-1ba6d94f8c31,Terrance,Mitchell,Terrance,II,Terrance Mitchell,CB,DB,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xswn1ziyp9ynldeejifr,,,
2018,REG,1,2018090901,2686,home,true,false,play_type_rush,3,1,10,3900,05:29,LEFT_INSIDE_LINEBACKER,false,false,true,false,false,false,00-0031361,Christian Kirksey,C.Kirksey,KIR636906,LB,OLB,58,1050,41300,32004b49-5263-6906-3aa4-9ab200514c55,Christian,Kirksey,Christian,,Christian Kirksey,MLB,LB,1050,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/cqlotcusbrlpnien6lwa,,,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0032549,Alex Redmond,Al.Redmond,RED608160,OL,G,62,0920,43669,32005245-4460-8160-bd19-8b3b0c5fa7ed,Alex,Redmond,Alex,,Alex Redmond,G,OL,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lezz2mgxxu46jjjomk9x,,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,true,true,false,false,false,true,00-0027942,A.J. Green,A.Green,GRE034604,WR,WR,18,0920,37077,32004752-4503-4604-5592-82f254d9dbee,Adriel,Green,A.J.,,A.J. Green,SLOT_WR,WR,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ify1tyrdfnh3oixudcuz,RIGHT_SLOT,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,true,00-0033897,Joe Mixon,J.Mixon,MIX564388,RB,HB,28,0920,44860,32004d49-5856-4388-c611-05b6fcff1d1d,Joe,Mixon,Joe,,Joe Mixon,RB,RB,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pkzlqusxfp1pioew4pb3,BACKFIELD,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,true,00-0033460,John Ross,J.Ross,ROS616450,WR,WR,15,0920,44821,3200524f-5361-6450-1052-04968bded2fc,John,Ross,John,,John Ross,WR,WR,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lpfapcl7jtzho3ziwtcq,RIGHT_WIDE,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0034762,Billy Price,B.Price,PRI054404,OL,C,53,0920,46090,32005052-4905-4404-45e3-d74a9d20fb7b,Billy,Price,Billy,,Billy Price,C,OL,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lhrp0qcd9qyhlezro7c7,,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0031622,Bobby Hart,B.Hart,HAR659972,OL,T,68,0920,42569,32004841-5265-9972-2dde-0391002e0586,Bobby,Hart,Bobby,,Bobby Hart,T,OL,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/qagjjot9xjbufj3taaau,,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0032134,C.J. Uzomah,C.Uzomah,UZO415291,TE,TE,87,0920,42500,3200555a-4f41-5291-7c48-f42f95ee20d2,Christopher,Uzomah,C.J.,,C.J. Uzomah,TE,TE,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/dyibbshsufxng0ckdsv4,LEFT_TIGHT,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,true,00-0030549,Tyler Eifert,T.Eifert,EIF131143,TE,TE,85,0920,39967,32004549-4613-1143-bfd0-182bad3b5b94,Tyler,Eifert,Tyler,,Tyler Eifert,TE,TE,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mtpnivcnfgtz8sbkkvax,LEFT_TIGHT,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0029561,Cordy Glenn,C.Glenn,GLE000000,OL,T,77,0920,38571,3200474c-4500-0000-798f-920eff1e6bce,Cordy,Glenn,Cordy,,Cordy Glenn,T,OL,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/yxjyxravspvv0cpji3rz,,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,false,false,00-0028039,Clint Boling,C.Boling,BOL403287,OL,G,65,0920,37176,3200424f-4c40-3287-2b41-41736574fd1f,Clint,Boling,Clint,,Clint Boling,G,OL,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/hbkhzw6t4wsu3ia5sr6z,,false,
2018,REG,1,2018090902,2824,away,true,false,play_type_pass,3,1,10,0920,04:18,,false,true,false,false,true,false,00-0027973,Andy Dalton,A.Dalton,DAL659900,QB,QB,14,0920,37110,32004441-4c65-9900-551d-a31a0423b3ca,Andrew,Dalton,Andy,,Andy Dalton,QB,QB,0920,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fex1enmwhsyid5jyue7t,,false,
2018,REG,1,2018090902,2824,home,true,false,play_type_pass,3,1,10,0920,04:18,RIGHT_INTERIOR_LINE,false,false,true,false,false,false,00-0030449,Margus Hunt,M.Hunt,HUN320751,DL,DT,92,2200,40001,32004855-4e32-0751-ad6c-17f356b0d9ab,Margus,Hunt,Margus,,Margus Hunt,INTERIOR_LINE,DL,2200,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gb5y0bmynzljqjl9xskd,,true,
