season,season_type,week,week_name_abbr,game_id,game_key,smart_id,game_date,game_time,game_time_eastern,iso_time,home_team_id,home_team_abbr,home_display_name,home_nickname,visitor_team_id,visitor_team_abbr,visitor_display_name,visitor_nickname,phase,home_score,visitor_score,site_id,site_full_name,site_city,site_state,roof_type,network_channel,ngs_game,validated
2022,POST,19,WC,2023011400,59159,f4ed1058-8fd5-11ed-9789-5c606116f089,01/14/2023,2023-01-14T21:30:00Z,16:30:00,1673731800000,4500,SF,San Francisco 49ers,49ers,4600,SEA,Seattle Seahawks,Seahawks,FINAL,41,23,2099,Levi's Stadium,Santa Clara,CA,OUTDOOR,FOX,true,true
2022,POST,19,WC,2023011401,59160,27a7c406-8fd6-11ed-9789-5c606116f089,01/14/2023,2023-01-15T01:15:00Z,20:15:00,1673745300000,2250,JAX,Jacksonville Jaguars,Jaguars,4400,LAC,Los Angeles Chargers,Chargers,FINAL,31,30,2049,TIAA Bank Field,Jacksonville,FL,OUTDOOR,NBC,true,true
2022,POST,19,WC,2023011500,59161,4f7ad01f-8fd6-11ed-9789-5c606116f089,01/15/2023,2023-01-15T18:00:00Z,13:00:00,1673805600000,0610,BUF,Buffalo Bills,Bills,2700,MIA,Miami Dolphins,Dolphins,FINAL,34,31,3770,Highmark Stadium,Orchard Park,NY,OUTDOOR,CBS,true,true
2022,POST,19,WC,2023011501,59162,73f9964d-8fd6-11ed-9789-5c606116f089,01/15/2023,2023-01-15T21:30:00Z,16:30:00,1673818200000,3000,MIN,Minnesota Vikings,Vikings,3410,NYG,New York Giants,Giants,FINAL,24,31,1652,U.S. Bank Stadium,Minneapolis,MN,INDOOR,FOX,true,true
2022,POST,19,WC,2023011502,59163,92a33669-8fd6-11ed-9789-5c606116f089,01/15/2023,2023-01-16T01:15:00Z,20:15:00,1673831700000,0920,CIN,Cincinnati Bengals,Bengals,0325,BAL,Baltimore Ravens,Ravens,FINAL,24,17,3530,Paycor Stadium,Cincinnati,OH,OUTDOOR,NBC,true,true
2022,POST,19,WC,2023011600,59164,b513b28d-8fd6-11ed-9789-5c606116f089,01/16/2023,2023-01-17T01:15:00Z,20:15:00,1673918100000,4900,TB,Tampa Bay Buccaneers,Buccaneers,1200,DAL,Dallas Cowboys,Cowboys,FINAL,14,31,3697,Raymond James Stadium,Tampa,FL,OUTDOOR,ESPN,true,true
2022,POST,20,DIV,2023012100,59165,0399c7f4-9556-11ed-b824-0d7028be3cee,01/21/2023,2023-01-21T21:30:00Z,16:30:00,1674336600000,2310,KC,Kansas City Chiefs,Chiefs,2250,JAX,Jacksonville Jaguars,Jaguars,FINAL,27,20,1552,GEHA Field at Arrowhead Stadium,Kansas City,MO,OUTDOOR,NBC,true,true
2022,POST,20,DIV,2023012101,59166,26af553e-9556-11ed-b824-0d7028be3cee,01/21/2023,2023-01-22T01:15:00Z,20:15:00,1674350100000,3700,PHI,Philadelphia Eagles,Eagles,3410,NYG,New York Giants,Giants,FINAL,38,7,2769,Lincoln Financial Field,Philadelphia,PA,OUTDOOR,FOX,true,true
2022,POST,20,DIV,2023012200,59167,4d476c73-9556-11ed-b824-0d7028be3cee,01/22/2023,2023-01-22T20:00:00Z,15:00:00,1674417600000,0610,BUF,Buffalo Bills,Bills,0920,CIN,Cincinnati Bengals,Bengals,FINAL,10,27,3770,Highmark Stadium,Orchard Park,NY,OUTDOOR,CBS,true,true
2022,POST,20,DIV,2023012201,59168,6f445459-9556-11ed-b824-0d7028be3cee,01/22/2023,2023-01-22T23:30:00Z,18:30:00,1674430200000,4500,SF,San Francisco 49ers,49ers,1200,DAL,Dallas Cowboys,Cowboys,FINAL,19,12,2099,Levi's Stadium,Santa Clara,CA,OUTDOOR,FOX,true,true
2022,POST,21,CONF,2023012900,59169,b271e50f-9aa9-11ed-99e5-6b206f74937e,01/29/2023,2023-01-29T20:00:00Z,15:00:00,1675022400000,3700,PHI,Philadelphia Eagles,Eagles,4500,SF,San Francisco 49ers,49ers,FINAL,31,7,2769,Lincoln Financial Field,Philadelphia,PA,OUTDOOR,FOX,true,true
2022,POST,21,CONF,2023012901,59170,44497169-9a0b-11ed-99e5-6b206f74937e,01/29/2023,2023-01-29T23:30:00Z,18:30:00,1675035000000,2310,KC,Kansas City Chiefs,Chiefs,0920,CIN,Cincinnati Bengals,Bengals,FINAL,23,20,1552,GEHA Field at Arrowhead Stadium,Kansas City,MO,OUTDOOR,CBS,true,true
