season,season_type,week,week_name_abbr,game_id,game_key,smart_id,game_date,game_time,game_time_eastern,iso_time,home_team_id,home_team_abbr,home_display_name,home_nickname,visitor_team_id,visitor_team_abbr,visitor_display_name,visitor_nickname,phase,home_score,visitor_score,site_id,site_full_name,site_city,site_state,roof_type,network_channel,ngs_game,validated
2025,POST,19,WC,2026011000,60164,314754f5-e9e2-11f0-9442-5911216651e2,01/10/2026,2026-01-10T21:30:00Z,16:30:00,1768080600000,0750,CAR,Carolina Panthers,Panthers,2510,LAR,Los Angeles Rams,Rams,FINAL,31,34,1769,Bank of America Stadium,Charlotte,NC,OUTDOOR,FOX,true,true
2025,POST,19,WC,2026011001,60165,80ab3957-e9e2-11f0-9442-5911216651e2,01/10/2026,2026-01-11T01:00:00Z,20:00:00,1768093200000,0810,CHI,Chicago Bears,Bears,1800,GB,Green Bay Packers,Packers,FINAL,31,27,4620,Soldier Field,Chicago,IL,OUTDOOR,Prime Video,true,true
2025,POST,19,WC,2026011100,60166,e923e575-e9e2-11f0-9442-5911216651e2,01/11/2026,2026-01-11T18:00:00Z,13:00:00,1768154400000,2250,JAX,Jacksonville Jaguars,Jaguars,0610,BUF,Buffalo Bills,Bills,FINAL,24,27,2049,EverBank Stadium,Jacksonville,FL,OUTDOOR,CBS,true,true
2025,POST,19,WC,2026011101,60167,3997708f-e9e3-11f0-9442-5911216651e2,01/11/2026,2026-01-11T21:30:00Z,16:30:00,1768167000000,3700,PHI,Philadelphia Eagles,Eagles,4500,SF,San Francisco 49ers,49ers,FINAL,19,23,2769,Lincoln Financial Field,Philadelphia,PA,OUTDOOR,FOX,true,true
2025,POST,19,WC,2026011102,60168,8522d92f-e9e3-11f0-9442-5911216651e2,01/11/2026,2026-01-12T01:15:00Z,20:15:00,1768180500000,3200,NE,New England Patriots,Patriots,4400,LAC,Los Angeles Chargers,Chargers,FINAL,16,3,1065,Gillette Stadium,Foxborough,MA,OUTDOOR,NBC,true,true
2025,POST,19,WC,2026011200,60169,d52a795b-e9e3-11f0-9442-5911216651e2,01/12/2026,2026-01-13T01:15:00Z,20:15:00,1768266900000,3900,PIT,Pittsburgh Steelers,Steelers,2120,HOU,Houston Texans,Texans,FINAL,6,30,5411,Acrisure Stadium,Pittsburgh,PA,OUTDOOR,ESPN,true,true
2025,POST,20,DIV,2026011700,60170,1ab6b0a3-f037-11f0-9442-5911216651e2,01/17/2026,2026-01-17T21:30:00Z,16:30:00,1768685400000,1400,DEN,Denver Broncos,Broncos,0610,BUF,Buffalo Bills,Bills,FINAL OVERTIME,33,30,5786,Empower Field at Mile High,Denver,CO,OUTDOOR,CBS,true,true
2025,POST,20,DIV,2026011701,60171,5b3fe531-f037-11f0-9442-5911216651e2,01/17/2026,2026-01-18T01:00:00Z,20:00:00,1768698000000,4600,SEA,Seattle Seahawks,Seahawks,4500,SF,San Francisco 49ers,49ers,FINAL,41,6,5315,Lumen Field,Seattle,WA,OUTDOOR,FOX,true,true
2025,POST,20,DIV,2026011800,60172,adedf70c-f037-11f0-9442-5911216651e2,01/18/2026,2026-01-18T23:30:00Z,18:30:00,1768779000000,0810,CHI,Chicago Bears,Bears,2510,LAR,Los Angeles Rams,Rams,FINAL OVERTIME,17,20,4620,Soldier Field,Chicago,IL,OUTDOOR,NBC,true,true
2025,POST,20,DIV,2026011801,60173,dbcb3890-f037-11f0-9442-5911216651e2,01/18/2026,2026-01-18T20:00:00Z,15:00:00,1768766400000,3200,NE,New England Patriots,Patriots,2120,HOU,Houston Texans,Texans,FINAL,28,16,1065,Gillette Stadium,Foxborough,MA,OUTDOOR,ESPN,true,true
