season,season_type,week,week_name_abbr,game_id,game_key,smart_id,game_date,game_time,game_time_eastern,iso_time,home_team_id,home_team_abbr,home_display_name,home_nickname,visitor_team_id,visitor_team_abbr,visitor_display_name,visitor_nickname,phase,home_score,visitor_score,site_id,site_full_name,site_city,site_state,roof_type,network_channel,ngs_game,validated
2016,POST,18,WC,2017010700,57157,10012017-0107-00e6-6799-781115474112,01/07/2017,,16:35:00,1483824900000,2120,HOU,Houston Texans,Texans,2520,OAK,Oakland Raiders,Raiders,FINAL,27,14,3698,,Houston,TX,OUTDOOR,ESPN,true,true
2016,POST,18,WC,2017010701,57158,10012017-0107-01cc-d5f9-67f92658e07d,01/07/2017,,20:15:00,1483838100000,4600,SEA,Seattle Seahawks,Seahawks,1540,DET,Detroit Lions,Lions,FINAL,26,6,5315,,Seattle,WA,OUTDOOR,NBC,true,true
2016,POST,18,WC,2017010800,57159,10012017-0108-00ab-80fe-7d54d2c7d968,01/08/2017,,13:05:00,1483898700000,3900,PIT,Pittsburgh Steelers,Steelers,2700,MIA,Miami Dolphins,Dolphins,FINAL,30,12,5411,,Pittsburgh,PA,OUTDOOR,CBS,true,true
2016,POST,18,WC,2017010801,57160,10012017-0108-01a0-64db-d5e755d22b84,01/08/2017,,16:40:00,1483911600000,1800,GB,Green Bay Packers,Packers,3410,NYG,New York Giants,Giants,FINAL,38,13,2606,,Green Bay,WI,OUTDOOR,FOX,true,true
2016,POST,19,DIV,2017011400,57161,10012017-0114-0083-80ee-db50abaf3f0a,01/14/2017,,16:35:00,1484429700000,0200,ATL,Atlanta Falcons,Falcons,4600,SEA,Seattle Seahawks,Seahawks,FINAL,36,20,2053,,Atlanta,GA,INDOOR,FOX,true,true
2016,POST,19,DIV,2017011401,57162,10012017-0114-01f2-a8da-6708131c1aeb,01/14/2017,,20:15:00,1484442900000,3200,NE,New England Patriots,Patriots,2120,HOU,Houston Texans,Texans,FINAL,34,16,1065,,Foxborough,MA,OUTDOOR,CBS,true,true
2016,POST,19,DIV,2017011500,57163,10012017-0115-0077-30e1-367c1c075e4b,01/15/2017,,20:20:00,1484529600000,2310,KC,Kansas City Chiefs,Chiefs,3900,PIT,Pittsburgh Steelers,Steelers,FINAL,16,18,1552,,Kansas City,MO,OUTDOOR,NBC,true,true
2016,POST,19,DIV,2017011501,57164,10012017-0115-01f7-f4f6-5a3389f4e06e,01/15/2017,,16:40:00,1484516400000,1200,DAL,Dallas Cowboys,Cowboys,1800,GB,Green Bay Packers,Packers,FINAL,31,34,4948,,Arlington,TX,RETRACTABLE,FOX,true,true
2016,POST,20,CONF,2017012200,57165,10012017-0122-007e-cd9c-7e6707860f67,01/22/2017,,15:05:00,1485115500000,0200,ATL,Atlanta Falcons,Falcons,1800,GB,Green Bay Packers,Packers,FINAL,44,21,2053,,Atlanta,GA,INDOOR,FOX,true,true
2016,POST,20,CONF,2017012201,57166,10012017-0122-0193-237d-17eab211832d,01/22/2017,,18:40:00,1485128400000,3200,NE,New England Patriots,Patriots,3900,PIT,Pittsburgh Steelers,Steelers,FINAL,36,17,1065,,Foxborough,MA,OUTDOOR,CBS,true,true
