season,season_type,week,week_name_abbr,game_id,game_key,smart_id,game_date,game_time,game_time_eastern,iso_time,home_team_id,home_team_abbr,home_display_name,home_nickname,visitor_team_id,visitor_team_abbr,visitor_display_name,visitor_nickname,phase,home_score,visitor_score,site_id,site_full_name,site_city,site_state,roof_type,network_channel,ngs_game,validated
2010,POST,18,WC,2011010800,55152,,01/08/2011,,20:00:00,1294534800000,2200,IND,Indianapolis Colts,Colts,3430,NYJ,New York Jets,Jets,FINAL,16,17,2878,,Indianapolis,IN,RETRACTABLE,NBC,true,
2010,POST,18,WC,2011010801,55151,,01/08/2011,,16:30:00,1294522200000,4600,SEA,Seattle Seahawks,Seahawks,3300,NO,New Orleans Saints,Saints,FINAL,41,36,5315,,Seattle,WA,OUTDOOR,NBC,true,
2010,POST,18,WC,2011010900,55153,,01/09/2011,,13:00:00,1294596000000,2310,KC,Kansas City Chiefs,Chiefs,0325,BAL,Baltimore Ravens,Ravens,FINAL,7,30,1552,,Kansas City,MO,OUTDOOR,CBS,true,
2010,POST,18,WC,2011010901,55154,,01/09/2011,,16:30:00,1294608600000,3700,PHI,Philadelphia Eagles,Eagles,1800,GB,Green Bay Packers,Packers,FINAL,16,21,2769,,Philadelphia,PA,OUTDOOR,FOX,true,
2010,POST,19,DIV,2011011500,55156,,01/15/2011,,16:30:00,1295127000000,3900,PIT,Pittsburgh Steelers,Steelers,0325,BAL,Baltimore Ravens,Ravens,FINAL,31,24,5411,,Pittsburgh,PA,OUTDOOR,CBS,true,
2010,POST,19,DIV,2011011501,55157,,01/15/2011,,20:00:00,1295139600000,0200,ATL,Atlanta Falcons,Falcons,1800,GB,Green Bay Packers,Packers,FINAL,21,48,2053,,Atlanta,GA,INDOOR,FOX,true,
2010,POST,19,DIV,2011011600,55159,,01/16/2011,,16:30:00,1295213400000,3200,NE,New England Patriots,Patriots,3430,NYJ,New York Jets,Jets,FINAL,21,28,1065,,Foxborough,MA,OUTDOOR,CBS,true,
2010,POST,19,DIV,2011011601,55158,,01/16/2011,,13:00:00,1295200800000,0810,CHI,Chicago Bears,Bears,4600,SEA,Seattle Seahawks,Seahawks,FINAL,35,24,4620,,Chicago,IL,OUTDOOR,FOX,true,
2010,POST,20,CONF,2011012300,55161,,01/23/2011,,18:30:00,1295825400000,3900,PIT,Pittsburgh Steelers,Steelers,3430,NYJ,New York Jets,Jets,FINAL,24,19,5411,,Pittsburgh,PA,OUTDOOR,CBS,true,
2010,POST,20,CONF,2011012301,55160,,01/23/2011,,15:00:00,1295812800000,0810,CHI,Chicago Bears,Bears,1800,GB,Green Bay Packers,Packers,FINAL,14,21,4620,,Chicago,IL,OUTDOOR,FOX,true,
2010,POST,22,SB,2011020600,55162,,02/06/2011,,18:29:00,1297034940000,1800,GB,Green Bay Packers,Packers,3900,PIT,Pittsburgh Steelers,Steelers,FINAL,31,25,4948,,Arlington,TX,RETRACTABLE,FOX,true,
2010,PRE,0,HOF,2010080851,55073,,08/08/2010,,20:00:00,1281312000000,0920,CIN,Cincinnati Bengals,Bengals,1200,DAL,Dallas Cowboys,Cowboys,FINAL,7,16,1900,,Canton,OH,OUTDOOR,NBC,true,
2010,PRE,1,P1,2010081251,55074,,08/12/2010,,20:00:00,1281657600000,0325,BAL,Baltimore Ravens,Ravens,0750,CAR,Carolina Panthers,Panthers,FINAL,17,12,3695,,Baltimore,MD,OUTDOOR,ESPN,true,
