season,season_type,week,week_name_abbr,game_id,game_key,smart_id,game_date,game_time,game_time_eastern,iso_time,home_team_id,home_team_abbr,home_display_name,home_nickname,visitor_team_id,visitor_team_abbr,visitor_display_name,visitor_nickname,phase,home_score,visitor_score,site_id,site_full_name,site_city,site_state,roof_type,network_channel,ngs_game,validated
2017,POST,18,WC,2018010600,57490,10012018-0106-00e8-ac85-d2fa663251dc,01/06/2018,,16:35:00,1515274500000,2310,KC,Kansas City Chiefs,Chiefs,2100,TEN,Tennessee Titans,Titans,FINAL,21,22,1552,,Kansas City,MO,OUTDOOR,ESPN,true,true
2017,POST,18,WC,2018010601,57491,10012018-0106-01eb-45eb-1255e2c5e9ab,01/06/2018,,20:15:00,1515287700000,2510,LA,Los Angeles Rams,Rams,0200,ATL,Atlanta Falcons,Falcons,FINAL,13,26,2850,,Los Angeles,CA,OUTDOOR,NBC,true,true
2017,POST,18,WC,2018010700,57492,10012018-0107-00c0-ebb3-fbe0ed9b55f2,01/07/2018,,13:05:00,1515348300000,2250,JAX,Jacksonville Jaguars,Jaguars,0610,BUF,Buffalo Bills,Bills,FINAL,10,3,2049,,Jacksonville,FL,OUTDOOR,CBS,true,true
2017,POST,18,WC,2018010701,57493,10012018-0107-0124-d89f-fab5ec67ec2c,01/07/2018,,16:40:00,1515361200000,3300,NO,New Orleans Saints,Saints,0750,CAR,Carolina Panthers,Panthers,FINAL,31,26,2870,,New Orleans,LA,INDOOR,FOX,true,true
2017,POST,19,DIV,2018011300,57494,10012018-0113-0027-5ad4-10e6067ae155,01/13/2018,,16:35:00,1515879300000,3700,PHI,Philadelphia Eagles,Eagles,0200,ATL,Atlanta Falcons,Falcons,FINAL,15,10,2769,,Philadelphia,PA,OUTDOOR,NBC,true,true
2017,POST,19,DIV,2018011301,57495,10012018-0113-01fb-8f68-4a5449c4641c,01/13/2018,,20:15:00,1515892500000,3200,NE,New England Patriots,Patriots,2100,TEN,Tennessee Titans,Titans,FINAL,35,14,1065,,Foxborough,MA,OUTDOOR,CBS,true,true
2017,POST,19,DIV,2018011400,57496,10012018-0114-0048-dd02-c0f3428876ed,01/14/2018,,13:05:00,1515953100000,3900,PIT,Pittsburgh Steelers,Steelers,2250,JAX,Jacksonville Jaguars,Jaguars,FINAL,42,45,5411,,Pittsburgh,PA,OUTDOOR,CBS,true,true
2017,POST,19,DIV,2018011401,57497,10012018-0114-01c7-b88f-d11a8fa16678,01/14/2018,,16:40:00,1515966000000,3000,MIN,Minnesota Vikings,Vikings,3300,NO,New Orleans Saints,Saints,FINAL,29,24,1652,,Minneapolis,MN,INDOOR,FOX,true,true
2017,POST,20,CONF,2018012100,57498,10012018-0121-0047-90d5-63b8ae515160,01/21/2018,,15:05:00,1516565100000,3200,NE,New England Patriots,Patriots,2250,JAX,Jacksonville Jaguars,Jaguars,FINAL,24,20,1065,,Foxborough,MA,OUTDOOR,CBS,true,true
2017,POST,20,CONF,2018012101,57499,10012018-0121-01be-4e6e-7f0f493bd683,01/21/2018,,18:40:00,1516578000000,3700,PHI,Philadelphia Eagles,Eagles,3000,MIN,Minnesota Vikings,Vikings,FINAL,38,7,2769,,Philadelphia,PA,OUTDOOR,FOX,true,true
2017,POST,22,SB,2018020400,57500,10012018-0204-00f8-9eca-052dd7e9e25e,02/04/2018,,18:30:00,1517787000000,3200,NE,New England Patriots,Patriots,3700,PHI,Philadelphia Eagles,Eagles,FINAL,33,41,1652,,Minneapolis,MN,INDOOR,NBC,true,true
