season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_season_type,player_week,player_suffix
2020,REG,2,week,5,Allen Lazard,00-0034521,Allen Lazard,A.Lazard,LAZ043714,WR,WR,13,1800,2020,46705,,Allen,Lazard,Allen,SLOT_WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ymohw0lnwbqphttnfouy,WR,1800,5.38,1.4184737356410846,12.306000000000001,21.57130837189735,3,5,60.0,45,0,8.120000000000001,7.720632503839094,0.39936749616090683,REG,2,
2020,REG,2,week,5,Adam Humphries,00-0032009,Adam Humphries,A.Humphries,HUM721507,WR,WR,10,2100,2020,43010,,Adam,Humphries,Adam,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/k0vkjiqxo1qntcqye1p3,WR,2100,6.1066666666666665,2.2672449405887205,8.933333333333334,27.32184728310735,5,6,83.33333333333334,48,1,2.9459999999999993,3.1598952412277415,-0.21389524122774217,REG,2,
2020,REG,2,week,5,Jonnu Smith,00-0033858,Jonnu Smith,J.Smith,SMI443054,TE,TE,81,2100,2020,44912,,Jonnu,Smith,Jonnu,TE,TE,81,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lszb7vp0xxueph7ubdqc,TE,2100,5.302499999999999,4.2964082913059185,6.276000000000002,15.99551432358039,4,5,80.0,84,2,13.744999999999997,8.875634200006743,4.869365799993254,REG,2,
2020,REG,2,week,5,Corey Davis,00-0033871,Corey Davis,C.Davis,DAV247957,WR,WR,84,2100,2020,44817,,Corey,Davis,Corey,WR,WR,84,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/x8g1t1ngums0fvu82aqi,WR,2100,6.56,2.2230762872367005,9.976,25.42562952390662,3,5,60.0,36,1,5.186666666666667,4.190396160055873,0.9962705066107942,REG,2,
2020,REG,2,week,5,Randall Cobb,00-0028002,Randall Cobb,R.Cobb,COB365535,WR,WR,18,2120,2020,37139,,Randall,Cobb,Randall,SLOT_WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lgdqefi7aa9lqoxgf5ru,WR,2120,4.245,2.7370170737192274,5.765,12.843934499275928,5,6,83.33333333333334,59,0,5.632000000000001,5.810138542727509,-0.17813854272750884,REG,2,II
2020,REG,2,week,5,Brandin Cooks,00-0031236,Brandin Cooks,B.Cooks,COO299382,WR,WR,13,2120,2020,41246,,Brandin,Cooks,Brandin,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/rf0zx5emnigq8zoewpmn,WR,2120,5.5875,1.9705585906132355,14.987499999999999,44.52118376592032,5,8,62.5,95,0,3.1960000000000024,3.3710464466082612,-0.17504644660825885,REG,2,
2020,REG,2,week,5,Jordan Akins,00-0034364,Jordan Akins,J.Akins,AKI501776,TE,TE,88,2120,2020,46167,,Jordan,Akins,Jordan,TE,TE,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wuxw6o0sgzl77lnqifsz,TE,2120,2.92,5.566532547417877,2.5757142857142834,6.694886933273918,7,7,100.0,55,0,5.281428571428573,4.679522868809921,0.6019057026186516,REG,2,
2020,REG,2,week,5,T.Y. Hilton,00-0029608,T.Y. Hilton,T.Hilton,HIL775449,WR,WR,13,2200,2020,38622,,Eugene,Hilton,T.Y.,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kbickbqrcbj2gos5ourc,WR,2200,5.914,2.7248345531811076,16.522,37.47165018597478,3,5,60.0,28,0,5.900000000000001,2.9003910065624345,2.9996089934375667,REG,2,
2020,REG,2,week,5,Mo Alie-Cox,00-0033217,Mo Alie-Cox,M.Alie-Cox,ALI177980,TE,TE,81,2200,2020,44792,,Mo,Alie-Cox,Mo,TE,TE,81,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/igjtpkztd002zfnsfhci,TE,2200,5.4799999999999995,2.041533367409723,12.600000000000001,34.29193504490611,5,6,83.33333333333334,111,0,8.562,9.13703668860752,-0.5750366886075202,REG,2,
2020,REG,2,week,5,Michael Pittman,00-0036252,Michael Pittman,M.Pittman,PIT228050,WR,WR,11,2200,2020,52442,,Michael,Pittman,Michael,WR,WR,11,ACT,,WR,2200,6.085,2.0776437728846697,7.541666666666667,20.52526535425928,4,6,66.66666666666666,37,0,2.9925000000000006,2.6655211602604254,0.3269788397395752,REG,2,
2020,REG,2,week,5,Tyler Eifert,00-0030549,Tyler Eifert,T.Eifert,EIF131143,TE,TE,88,2250,2020,39967,,Tyler,Eifert,Tyler,SLOT_WR,WR,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/sextvbehmeu7ydutxtsu,TE,2250,5.694,1.5503677627089338,14.613333333333332,21.718560352728446,3,6,50.0,36,1,1.413333333333334,1.0412881040892898,0.37204522924404415,REG,2,
2020,REG,2,week,5,Chris Conley,00-0032128,Chris Conley,C.Conley,CON236839,WR,WR,18,2250,2020,42419,,Christian,Conley,Chris,WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wjg9xv9g6lrzc50tpemy,WR,2250,4.2128571428571435,1.6507805089653032,9.897142857142857,17.160833271407697,4,7,57.14285714285714,48,0,5.922500000000001,4.4567602314527335,1.4657397685472677,REG,2,Jr.
2020,REG,2,week,5,Keelan Cole,00-0033681,Keelan Cole,K.Cole,COL130738,WR,WR,84,2250,2020,45555,,Keelan,Cole,Keelan,SLOT_WR,WR,84,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/m8dbxvxhubsmkfwv4dfe,WR,2250,5.406000000000001,3.66061338195119,7.742857142857141,13.425478685194816,6,7,85.71428571428571,58,1,3.1433333333333344,3.7422196085202963,-0.5988862751869619,REG,2,
2020,REG,2,week,5,Travis Kelce,00-0030506,Travis Kelce,T.Kelce,KEL012458,TE,TE,87,2310,2020,40011,,Travis,Kelce,Travis,WR,WR,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/b5hgyjflobudjoic3scp,TE,2310,6.247692307692308,2.5848346981901615,7.913571428571428,34.28014480646059,9,14,64.28571428571429,90,1,3.7066666666666674,3.5031699742937183,0.2034966923729491,REG,2,
2020,REG,2,week,5,Tyreek Hill,00-0033040,Tyreek Hill,T.Hill,HIL628694,WR,WR,10,2310,2020,43454,,Tyreek,Hill,Tyreek,WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bsgiiaeo4l2arlrw1sbz,WR,2310,5.387777777777777,3.1309114795217368,11.573636363636366,39.39168909929144,5,11,45.45454545454545,99,1,5.754,5.86290221605546,-0.10890221605546024,REG,2,
2020,REG,2,week,5,Robert Woods,00-0030431,Robert Woods,R.Woods,WOO561144,WR,WR,17,2510,2020,39989,,Robert,Woods,Robert,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/yhevkmorup1plsdhwar0,WR,2510,6.022,2.9204064052972813,11.373999999999999,25.284545616219095,2,5,40.0,14,0,1.2800000000000011,4.102138699065108,-2.822138699065107,REG,2,
2020,REG,2,week,5,Tyler Higbee,00-0033110,Tyler Higbee,T.Higbee,HIG033222,TE,TE,89,2510,2020,43399,,Tyler,Higbee,Tyler,TE,TE,89,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bj4bwulzt446tzapz5hf,TE,2510,5.116666666666667,3.8644827411322047,8.852,19.678107771652144,5,5,100.0,54,3,2.4379999999999997,3.116131351286458,-0.6781313512864582,REG,2,
2020,REG,2,week,5,Cooper Kupp,00-0033908,Cooper Kupp,C.Kupp,KUP534597,WR,WR,10,2510,2020,44881,,Cooper,Kupp,Cooper,TE,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kfmofyneoponii4twxdq,WR,2510,5.096,3.47185344490741,3.8466666666666676,10.261426284901301,5,6,83.33333333333334,81,0,11.748,11.152136790834106,0.5958632091658931,REG,2,
2020,REG,2,week,5,Van Jefferson,00-0036415,Van Jefferson,V.Jefferson,JEF436716,WR,WR,12,2510,2020,52465,,Vanchii,Jefferson,Van,WR,WR,12,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/qszul9ttjj1mmboai4iu,WR,2510,7.556,2.6080412554358245,9.419999999999998,20.940778943624398,4,5,80.0,45,0,2.0100000000000016,1.4552906700784822,0.5547093299215193,REG,2,
2020,REG,2,week,5,Darren Waller,00-0031610,Darren Waller,D.Waller,WAL509040,TE,TE,83,2520,2020,42547,,Darren,Waller,Darren,TE,TE,83,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/rhkmz0hgvksweumwf03u,TE,2520,6.7700000000000005,2.8474281721511137,6.4906250000000005,44.31595118204319,12,16,75.0,105,1,4.817499999999998,3.9220480721135353,0.8954519278864628,REG,2,
2020,REG,2,week,5,DeVante Parker,00-0031547,DeVante Parker,D.Parker,PAR226609,WR,WR,11,2700,2020,42357,,DeVante,Parker,DeVante,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/f8orziy8p43hogpe3m41,WR,2700,4.808750000000001,1.4453286532375846,9.8925,24.57611328488914,5,8,62.5,53,1,2.6399999999999992,2.3455107365765797,0.2944892634234195,REG,2,
2020,REG,2,week,5,Isaiah Ford,00-0033471,Isaiah Ford,I.Ford,FOR208311,WR,WR,84,2700,2020,45050,,Isaiah,Ford,Isaiah,SLOT_WR,WR,84,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/psvrbubluifylipfv4ak,WR,2700,6.48,3.217395126339513,7.546666666666669,21.091857648593262,7,9,77.77777777777779,76,0,3.5114285714285702,3.2966915287237106,0.2147370427048596,REG,2,
2020,REG,2,week,5,Mike Gesicki,00-0034829,Mike Gesicki,M.Gesicki,GES490798,TE,TE,88,2700,2020,46111,,Michael,Gesicki,Mike,SLOT_WR,WR,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/faruxkrb5psvgxbzab4j,TE,2700,5.09,2.5508747415195434,11.037272727272727,37.70262716601454,8,11,72.72727272727273,130,1,4.963750000000001,5.0760693619690755,-0.11231936196907455,REG,2,
2020,REG,2,week,5,Preston Williams,00-0035350,Preston Williams,P.Williams,WIL469697,WR,WR,18,2700,2020,48480,,Preston,Williams,Preston,WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/abp66jqwr4j6lww3t5i6,WR,2700,2.192,1.2348266767447034,11.575999999999999,17.974038879572696,1,5,20.0,26,0,2.84,2.2265951172929874,0.6134048827070124,REG,2,
