season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_season_type,player_week
2022,REG,9,week,5,Cooper Kupp,00-0033908,Cooper Kupp,C.Kupp,KUP534597,WR,WR,10,2510,2022,44881,32004b55-5053-4597-b958-87408c31956f,Cooper,Kupp,Cooper,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tojsgl1ttwjkvo6x7wgy,WR,2510,8.33,4.3527900091750755,6.971111111111112,26.299463447350774,8,9,88.88888888888889,127,1,9.819999999999999,8.603480841037005,1.2165191589629938,REG,9
2022,REG,9,week,5,Van Jefferson,00-0036415,Van Jefferson,V.Jefferson,JEF436716,WR,WR,12,2510,2022,52465,32004a45-4643-6716-6cf6-1dcc41075f1f,Vanchii,Jefferson,Van,SLOT_WR,WR,12,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/hlz2zw242l2f5u3pb1ft,WR,2510,6.686,2.0318883647288453,26.064,54.627766599597585,0,5,0.0,,0,,,,REG,9
2022,REG,9,week,5,Davante Adams,00-0031381,Davante Adams,D.Adams,ADA218591,WR,WR,17,2520,2022,41282,32004144-4121-8591-4d26-4c0ac739af41,Davante,Adams,Davante,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jmojceirzhgctrcfi4aw,WR,2520,5.170714285714285,4.113736992067812,10.90470588235294,53.024799061811734,10,17,58.82352941176471,146,2,6.544999999999999,6.40269477738002,0.1423052226199788,REG,9
2022,REG,9,week,5,Foster Moreau,00-0034981,Foster Moreau,F.Moreau,MOR096402,TE,TE,87,2520,2022,47920,32004d4f-5209-6402-e68b-97ba5fd58ae3,Foster,Moreau,Foster,TE,TE,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/sa6jfe7xjslhihldbiiy,TE,2520,6.226000000000001,3.2556567002427848,12.134000000000002,17.353622608048973,2,5,40.0,42,0,10.925,5.707185565856207,5.2178144341437935,REG,9
2022,REG,9,week,5,Tyreek Hill,00-0033040,Tyreek Hill,T.Hill,HIL628694,WR,WR,10,2700,2022,43454,32004849-4c62-8694-8490-45499711dee4,Tyreek,Hill,Tyreek,WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lsszbdnkusxc7mduw5be,WR,2700,5.725714285714285,3.806567942494908,15.036250000000003,46.979105643429016,7,8,87.5,143,1,6.302857142857141,5.520806756324207,0.7820503865329336,REG,9
2022,REG,9,week,5,Jaylen Waddle,00-0036613,Jaylen Waddle,J.Waddle,WAD088683,WR,WR,17,2700,2022,53435,32005741-4408-8683-c826-c882ad6fd5c2,Jaylen,Waddle,Jaylen,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nlneyg7usy4pn9psbnru,WR,2700,6.302857142857143,3.6200436636614506,15.937142857142858,43.56961530950985,5,7,71.42857142857143,85,1,3.9959999999999996,2.7422410823770407,1.2537589176229589,REG,9
2022,REG,9,week,5,Adam Thielen,00-0030035,Adam Thielen,A.Thielen,THI510348,WR,WR,19,3000,2022,40488,32005448-4951-0348-440c-28f32f21652b,Adam,Thielen,Adam,WR,WR,19,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fuutugtpr0nikfvjwk67,WR,3000,7.638571428571429,3.446467336639507,14.542857142857143,26.89635129065497,3,7,42.857142857142854,67,0,7.2299999999999995,7.8912284208672645,-0.661228420867265,REG,9
2022,REG,9,week,5,T.J. Hockenson,00-0035229,T.J. Hockenson,T.Hockenson,HOC422041,TE,TE,87,3000,2022,47791,3200484f-4342-2041-c442-6c874885b155,Thomas,Hockenson,T.J.,TE,WR,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ad89lw2t6v9bywmbh2uu,TE,3000,7.29142857142857,3.234174535752316,5.076666666666665,12.071653148035612,9,9,100.0,70,0,2.7011111111111124,3.0747214755588934,-0.37361036444778106,REG,9
2022,REG,9,week,5,Justin Jefferson,00-0036322,Justin Jefferson,J.Jefferson,JEF269287,WR,WR,18,3000,2022,52430,32004a45-4626-9287-c454-479b942cbd26,Justin,Jefferson,Justin,WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zdstmm4sloqnichybgja,WR,3000,6.163076923076924,1.893153879634832,15.215384615384616,52.26029749795239,7,13,53.84615384615385,115,1,4.694285714285714,4.1405898775770185,0.5536958367086955,REG,9
2022,REG,9,week,5,Jakobi Meyers,00-0034960,Jakobi Meyers,J.Meyers,MEY171606,WR,WR,16,3200,2022,48097,32004d45-5917-1606-4197-8f46779fb9b7,Jakobi,Meyers,Jakobi,SLOT_WR,WR,16,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nmd0n2w602mqecv0vwei,WR,3200,3.482,2.8351104195484425,6.218333333333334,27.046031170714034,5,6,83.33333333333334,42,0,3.0799999999999974,4.106999626287563,-1.0269996262875658,REG,9
2022,REG,9,week,5,Marquez Callaway,00-0036219,Marquez Callaway,M.Callaway,CAL617743,WR,WR,1,3300,2022,53098,32004341-4c61-7743-4446-48c992c4d138,Marquez,Callaway,Marquez,WR,WR,01,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mozocuvstzgtvoo63s6i,WR,3300,9.306,3.2466654436573683,11.22,25.827540168500533,3,5,60.0,24,0,1.5966666666666665,1.5033942612800881,0.09327240538657833,REG,9
2022,REG,9,week,5,Chris Olave,00-0037239,Chris Olave,C.Olave,OLA659325,WR,WR,12,3300,2022,54476,32004f4c-4165-9325-c259-01a521202e2f,Chris,Olave,Chris,WR,WR,12,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fh4mzrgbiqemhomzpukt,WR,3300,6.815555555555556,3.6241141802907424,11.077777777777776,45.900280834215735,6,9,66.66666666666666,71,0,2.4083333333333345,3.279061064285051,-0.8707277309517165,REG,9
2022,REG,9,week,5,Garrett Wilson,00-0037740,Garrett Wilson,G.Wilson,WIL691962,WR,WR,17,3430,2022,54475,32005749-4c69-1962-4085-d9c826d8709c,Garrett,Wilson,Garrett,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gqdfigo9nzji4e6nshpk,WR,3430,3.5299999999999994,3.0609419892258645,7.615555555555555,51.638664958939195,8,9,88.88888888888889,92,0,4.696250000000001,5.566450268376002,-0.8702002683760011,REG,9
2022,REG,9,week,5,Dallas Goedert,00-0034351,Dallas Goedert,D.Goedert,GOE595520,TE,TE,88,3700,2022,46118,3200474f-4559-5520-b7af-5e002aedafbb,Dallas,Goedert,Dallas,TE,TE,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/hcjzrphflquehexgcz14,TE,3700,4.00375,3.9859108227907285,9.484444444444447,47.54901960784314,8,9,88.88888888888889,100,1,4.3862499999999995,5.062265613242314,-0.6760156132423143,REG,9
2022,REG,9,week,5,A.J. Brown,00-0035676,A.J. Brown,A.Brown,BRO413223,WR,WR,11,3700,2022,47834,32004252-4f41-3223-e4c5-1e30dffa87f8,Arthur,Brown,A.J.,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/sb8stxfvnkedmhs6c1fx,WR,3700,5.4750000000000005,4.587240110540063,9.068333333333333,30.308600713012474,4,6,66.66666666666666,59,1,6.68,5.781972410491562,0.8980275895084375,REG,9
2022,REG,9,week,5,Zach Ertz,00-0030061,Zach Ertz,Z.Ertz,ERT800920,TE,TE,86,3800,2022,39983,32004552-5480-0920-32a6-165b5a77814e,Zachary,Ertz,Zach,SLOT_WR,WR,86,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/u5sxvgvz0pujcgrsjenk,TE,3800,4.3725000000000005,1.5557887575360265,11.29875,52.36053988298672,5,8,62.5,40,1,0.4500000000000014,0.871861417427499,-0.4218614174274976,REG,9
2022,REG,9,week,5,DeAndre Hopkins,00-0030564,DeAndre Hopkins,D.Hopkins,HOP161500,WR,WR,10,3800,2022,39973,3200484f-5016-1500-bfbe-c87b292b639c,DeAndre,Hopkins,DeAndre,WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kikfprn4t5ap1lju4a4k,WR,3800,5.356,2.3695399956457046,5.447999999999999,15.779412616578806,4,5,80.0,36,1,5.295000000000002,4.49742637300875,0.7975736269912517,REG,9
