season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_current_team_id,team_id,player_season_type,player_week
2025,POST,19,week,5,Brandin Cooks,00-0031236,Brandin Cooks,B.Cooks,COO299382,WR,WR,18,2025,41246,3200434f-4f29-9382-29e1-70020b0a09be,Brandin,Cooks,Brandin,WR,WR,18,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/krz3gv9jjs92arlctvqf,WR,6.77,2.0867998177358307,22.002,42.20278513062492,3,5,60.0,58,0,0.9766666666666666,3.0600426723659484,-2.083376005699282,0610,0610,POST,19
2025,POST,19,week,5,Khalil Shakir,00-0037261,Khalil Shakir,K.Shakir,SHA107427,WR,WR,10,2025,54613,32005348-4110-7427-f34a-bb0aa1d8e556,Khalil,Shakir,Khalil,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/otadttbhvkmavhsonnqm,WR,7.037272727272725,3.530983395063258,1.5241666666666676,7.016534315417963,12,12,100.0,82,0,5.309166666666666,4.442905353828792,0.8662613128378744,0610,0610,POST,19
2025,POST,19,week,5,Dalton Kincaid,00-0038933,Dalton Kincaid,D.Kincaid,KIN069130,TE,TE,86,2025,55889,32004b49-4e06-9130-e563-7edd228031c8,Dalton,Kincaid,Dalton,SLOT_WR,WR,86,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zwkeaiecuyafkidllebz,TE,7.446,2.4865485801409384,7.813999999999998,14.98829938236083,3,5,60.0,28,1,2.786666666666669,2.47144155788385,0.31522510878281906,0610,0610,POST,19
2025,POST,19,week,5,Jalen Coker,00-0039491,Jalen Coker,J.Coker,COK451291,WR,WR,18,2025,57606,3200434f-4b45-1291-8e86-939dcb7ab63f,Jalen,Coker,Jalen,WR,WR,18,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tbo339znpzrfki8hri95,WR,4.605833333333334,2.0507725446630602,12.294166666666667,42.250415258605884,9,12,75.0,134,1,6.101111111111112,6.383796239235317,-0.2826851281242053,0750,0750,POST,19
2025,POST,19,week,5,Tetairoa McMillan,00-0040124,Tetairoa McMillan,T.McMillan,MCM514957,WR,WR,4,2025,58210,32004d43-4d51-4957-830f-234e646a998f,Tetairoa,McMillan,Tetairoa,WR,WR,04,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hokqp6gl5xujtlqwecg8,WR,7.1000000000000005,3.0836581479273124,13.700000000000001,27.464345036943705,5,7,71.42857142857143,81,0,4.293999999999999,5.958834446406621,-1.6648344464066227,0750,0750,POST,19
2025,POST,19,week,5,DJ Moore,00-0034827,DJ Moore,D.Moore,MOO272423,WR,WR,2,2025,46093,32004d4f-4f27-2423-f0b4-728a741b03cb,Denniston,Moore,D.J.,WR,WR,02,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qphturmeiifnqrnf5pax,WR,5.617142857142857,4.676837322496989,7.895714285714286,11.105083383564395,6,7,85.71428571428571,64,1,3.686666666666666,3.2308109028221677,0.45585576384449844,0810,0810,POST,19
2025,POST,19,week,5,Rome Odunze,00-0039919,Rome Odunze,R.Odunze,ODU426541,WR,WR,15,2025,57130,32004f44-5542-6541-431c-1a51e8792659,Rome,Odunze,Rome,WR,WR,15,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yqjdhpsno75du0n72u4w,WR,6.628333333333334,1.7380483247982343,19.88333333333333,23.970263210769534,2,6,33.33333333333333,44,0,3.09,1.5094384071960008,1.580561592803999,0810,0810,POST,19
2025,POST,19,week,5,Colston Loveland,00-0040126,Colston Loveland,C.Loveland,LOV456221,TE,TE,84,2025,58212,32004c4f-5645-6221-1f26-a303114b69f8,Colston,Loveland,Colston,TE,WR,84,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tyjb6vfug7gaunvcune3,TE,5.867857142857142,3.832723276855403,12.304666666666666,37.084589109905565,8,15,53.333333333333336,137,0,4.797499999999999,4.804854467576607,-0.007354467576607959,0810,0810,POST,19
2025,POST,19,week,5,Luther Burden III,00-0040735,Luther Burden III,L.Burden,BUR035840,WR,WR,10,2025,58244,32004255-5203-5840-2355-001d8c81311e,Luther,Burden,Luther,WR,WR,10,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/iyuwdz7pbowdkwzq2tg5,WR,5.989999999999999,3.5866220280114676,11.792857142857143,16.586296966043797,3,7,42.857142857142854,42,0,7.553333333333335,6.768297833488153,0.7850354998451818,0810,0810,POST,19
2025,POST,19,week,5,Romeo Doubs,00-0037816,Romeo Doubs,R.Doubs,DOU043165,WR,WR,87,2025,54597,3200444f-5504-3165-5639-a63528da6f6e,Romeo,Doubs,Romeo,WR,WR,87,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ov2llp1bfetznmngqybi,WR,4.2754545454545445,2.175753306638174,10.126363636363637,27.958635576416256,8,11,72.72727272727273,124,1,5.88125,4.256080618435391,1.6251693815646089,1800,1800,POST,19
2025,POST,19,week,5,Christian Watson,00-0038124,Christian Watson,C.Watson,WAT316591,WR,WR,9,2025,54499,32005741-5431-6591-b680-d3a3d3536d62,Christian,Watson,Christian,WR,WR,09,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/syljognztlbghfeqyqn1,WR,5.917142857142857,2.6318536813511053,12.082857142857142,21.229386812580007,3,7,42.857142857142854,36,1,9.193333333333333,9.010064463754588,0.183268869578745,1800,1800,POST,19
2025,POST,19,week,5,Jayden Reed,00-0039146,Jayden Reed,J.Reed,REE263142,WR,WR,11,2025,55915,32005245-4526-3142-e96f-a871c08a1138,Jayden,Reed,Jayden,SLOT_WR,WR,11,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/blh2tfg9qjthqo2g6ot4,WR,7.446666666666668,2.371966098843216,12.424285714285713,21.82927135363068,4,7,57.14285714285714,43,1,4.605000000000003,3.949198930273667,0.6558010697263361,1800,1800,POST,19
2025,POST,19,week,5,Matthew Golden,00-0040667,Matthew Golden,M.Golden,GOL068614,WR,WR,0,2025,58225,3200474f-4c06-8614-8bd5-a546b4ab4775,Matthew,Golden,Matthew,WR,WR,00,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gkbhlytvkltv5whjo3ru,WR,4.8675,3.4606664997330325,10.954000000000002,13.747144900981404,4,5,80.0,84,1,10.649999999999999,7.116043107825661,3.533956892174338,1800,1800,POST,19
2025,POST,19,week,5,Christian Kirk,00-0034775,Christian Kirk,C.Kirk,KIR257918,WR,WR,13,2025,46116,32004b49-5225-7918-e402-81feed3bdafb,Christian,Kirk,Christian,SLOT_WR,WR,13,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bugikrmfz5k4jvyaogza,WR,4.0488888888888885,3.2596867704975643,9.635555555555557,31.908161012583708,8,9,88.88888888888889,144,1,7.661249999999999,5.363738117525138,2.2975118824748613,2120,2120,POST,19
2025,POST,19,week,5,Nico Collins,00-0036554,Nico Collins,N.Collins,COL654119,WR,WR,12,2025,53518,3200434f-4c65-4119-2a51-095ba724d414,Nico,Collins,Nico,WR,WR,12,ACT,https://static.www.nfl.com/image/upload/{formatInstructions}/league/osmqyvmib3pssxi6cyic,WR,4.757142857142857,2.3309529833005422,7.727142857142858,19.90212672014129,3,7,42.857142857142854,21,0,2.659999999999999,3.144383836917162,-0.48438383691716336,2120,2120,POST,19
