season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_suffix,player_season_type,player_week
2018,POST,18,week,5,Willie Snead,00-0030663,Willie Snead,W.Snead IV,SNE115447,WR,WR,83,0325,2018,41500,3200534e-4511-5447-652c-c9261bcca6a7,Willie,Snead,Willie,SLOT_WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xg1dlgeps42vv2gx8qkt,WR,0325,5.826666666666667,3.0667438945627477,10.45,25.59497081275258,3,6,50.0,50,0,8.146666666666667,5.194370356741122,2.9522963099255444,IV,POST,18
2018,POST,18,week,5,Mark Andrews,00-0034753,Mark Andrews,M.Andrews,AND701433,TE,TE,89,0325,2018,46155,3200414e-4470-1433-75dd-307507e53173,Mark,Andrews,Mark,SLOT_WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/rx3nyhawhvj9lddniknj,TE,0325,5.517142857142858,3.5921805640534457,8.440000000000001,24.11723884557293,3,7,42.857142857142854,31,0,4.140000000000001,2.8717185057493406,1.26828149425066,,POST,18
2018,POST,18,week,5,Taylor Gabriel,00-0031228,Taylor Gabriel,T.Gabriel,GAB627060,WR,WR,18,0810,2018,42016,32004741-4262-7060-f2df-7bd304949774,Taylor,Gabriel,Taylor,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nc4aoax8j5mnnrjewu7p,WR,0810,7.200000000000001,2.2020810125614374,9.593333333333334,19.5791192344324,4,9,44.44444444444444,37,0,2.2524999999999995,2.4147764427960254,-0.16227644279602593,,POST,18
2018,POST,18,week,5,Allen Robinson,00-0031428,Allen Robinson,A.Robinson II,ROB365982,WR,WR,12,0810,2018,41290,3200524f-4236-5982-45ce-8ca18ca03af8,Allen,Robinson,Allen,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bk03jfsdlx66m3z22qqi,WR,0810,6.1049999999999995,2.209505487539827,13.156923076923077,38.786339516531356,10,13,76.92307692307693,143,1,4.027000000000002,3.596004849001436,0.4309951509985659,II,POST,18
2018,POST,18,week,5,Anthony Miller,00-0034353,Anthony Miller,A.Miller,MIL140090,WR,WR,17,0810,2018,46120,32004d49-4c14-0090-2d8a-386614adf145,Anthony,Miller,Anthony,SLOT_WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bd1p24ouboy5l6aqelbc,WR,0810,3.5759999999999996,2.893878732116508,15.201999999999998,17.236609370039453,3,5,60.0,34,0,2.873333333333335,2.2805399210289274,0.5927934123044074,,POST,18
2018,POST,18,week,5,Amari Cooper,00-0031544,Amari Cooper,A.Cooper,COO487703,WR,WR,19,1200,2018,42347,3200434f-4f48-7703-16a5-c78426109031,Amari,Cooper,Amari,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ekwyie7av318q4eaffiy,WR,1200,4.18,3.2135318005882514,11.447777777777777,41.87700686908101,7,9,77.77777777777779,106,0,4.641428571428572,4.439846211375636,0.20158236005293606,,POST,18
2018,POST,18,week,5,Michael Gallup,00-0034764,Michael Gallup,M.Gallup,GAL779981,WR,WR,13,1200,2018,46150,32004741-4c77-9981-95e1-30b1c57c6002,Michael,Gallup,Michael,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ncxer9zjw2czcahas1ey,WR,1200,2.985,1.0609810366693375,15.02833333333333,36.65000203227249,2,6,33.33333333333333,18,1,-0.7800000000000011,0.2732381049839887,-1.0532381049839898,,POST,18
2018,POST,18,week,5,Ryan Griffin,00-0030108,Ryan Griffin,R.Griffin,GRI293499,TE,TE,84,2120,2018,40149,32004752-4929-3499-4553-f2c6b22bb2af,Ryan,Griffin,Ryan,TE,TE,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ntkwyyft1r9xefhlc66m,TE,2120,7.723333333333334,3.569419445037738,9.613999999999999,13.557266548213326,1,5,20.0,6,0,6.090000000000003,6.587291026894491,-0.49729102689448723,,POST,18
2018,POST,18,week,5,DeAndre Hopkins,00-0030564,DeAndre Hopkins,D.Hopkins,HOP161500,WR,WR,10,2120,2018,39973,3200484f-5016-1500-bfbe-c87b292b639c,DeAndre,Hopkins,DeAndre,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/boialnvkpcs0uvlbnsfv,WR,2120,3.9799999999999995,2.2304148839745714,11.425,32.22212821163662,5,10,50.0,37,0,1.936,2.6009774288906735,-0.6649774288906736,,POST,18
2018,POST,18,week,5,Keke Coutee,00-0034366,Keke Coutee,K.Coutee,COU751041,WR,WR,16,2120,2018,46172,3200434f-5575-1041-42e7-23072fa2ee4f,Key'vantanie,Coutee,Keke,SLOT_WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/yc2fwgw8ie8newipe7uq,WR,2120,6.045454545454546,3.6801492065495296,5.384999999999998,21.26237414332853,11,14,78.57142857142857,110,1,5.051818181818183,5.811845207125502,-0.7600270253073189,,POST,18
2018,POST,18,week,5,T.Y. Hilton,00-0029608,T.Y. Hilton,T.Hilton,HIL775449,WR,WR,13,2200,2018,38622,32004849-4c77-5449-32f3-1710cf2948b2,Eugene,Hilton,T.Y.,WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kbickbqrcbj2gos5ourc,WR,2200,5.301111111111111,1.9966446848297674,13.280000000000001,40.22901457090061,5,10,50.0,85,0,1.133999999999999,1.5063706796472303,-0.37237067964723125,,POST,18
2018,POST,18,week,5,Eric Ebron,00-0031387,Eric Ebron,E.Ebron,EBR474619,TE,TE,85,2200,2018,41236,32004542-5247-4619-e13a-2be177a1a622,Eric,Ebron,Eric,SLOT_WR,WR,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gxxogysbupsery4gckld,TE,2200,5.016,2.105652475880741,11.831666666666665,21.504952894489712,3,6,50.0,26,1,2.783333333333332,2.205770119612064,0.5775632137212678,Jr.,POST,18
