season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_season_type,player_week
2023,POST,19,week,5,Stefon Diggs,00-0031588,Stefon Diggs,S.Diggs,DIG218895,WR,WR,14,0610,2023,42489,32004449-4721-8895-fc23-d2bf4c921bd4,Stefon,Diggs,Stefon,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zf6nbnzcfzu4y7yq2nzk,WR,0610,4.512222222222222,3.751493264209218,6.9155555555555575,32.913802221047064,7,9,77.77777777777779,52,0,4.442857142857141,4.002761514436754,0.4400956284203872,POST,19
2023,POST,19,week,5,Dalton Kincaid,00-0038933,Dalton Kincaid,D.Kincaid,KIN069130,TE,TE,86,0610,2023,55889,32004b49-4e06-9130-e563-7edd228031c8,Dalton,Kincaid,Dalton,SLOT_WR,WR,86,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gc2do3ceqflw2axa6xii,TE,0610,5.612,1.660907763288769,14.183333333333332,45.00264410364885,3,6,50.0,59,1,3.849999999999999,2.345338678802212,1.504661321197787,POST,19
2023,POST,19,week,5,Amari Cooper,00-0031544,Amari Cooper,A.Cooper,COO487703,WR,WR,2,1050,2023,42347,3200434f-4f48-7703-16a5-c78426109031,Amari,Cooper,Amari,WR,WR,02,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zibbxjtein7gpu5zgcj4,WR,1050,7.884,2.7277313985810028,13.418000000000001,23.180844447515724,4,5,80.0,59,0,1.4225000000000012,1.19021956062147,0.23228043937853116,POST,19
2023,POST,19,week,5,David Njoku,00-0033885,David Njoku,D.Njoku,NJO355964,TE,TE,85,1050,2023,44841,32004e4a-4f35-5964-1f03-4dc0b4e0b757,David,Njoku,David,SLOT_WR,WR,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ilvxwdllivrvwbuj69cm,TE,1050,4.858333333333334,2.6610238469688885,11.95727272727273,45.44606454287888,7,11,63.63636363636363,93,0,2.8485714285714274,2.088306280068726,0.7602651485027012,POST,19
2023,POST,19,week,5,Harrison Bryant,00-0036232,Harrison Bryant,H.Bryant,BRY363372,TE,TE,88,1050,2023,52523,32004252-5936-3372-c05e-d19e0eddbf05,Harrison,Bryant,Harrison,TE,TE,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/rqva2z0by1veklpxnzis,TE,1050,6.863333333333333,2.619758657845527,7.631666666666665,15.821297767949691,4,6,66.66666666666666,65,0,9.695000000000002,9.066347579609655,0.6286524203903472,POST,19
2023,POST,19,week,5,David Bell,00-0037257,David Bell,Dav.Bell,BEL269820,WR,WR,18,1050,2023,54564,32004245-4c26-9820-eec2-961722ae3742,David,Bell,David,SLOT_WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/otv2kkn3lxonp9z43bdj,WR,1050,6.922,4.388750056579873,5.08,14.041876857162602,8,8,100.0,54,0,1.67,2.5184833738242034,-0.8484833738242035,POST,19
2023,POST,19,week,5,Brandin Cooks,00-0031236,Brandin Cooks,B.Cooks,COO299382,WR,WR,3,1200,2023,41246,3200434f-4f29-9382-29e1-70020b0a09be,Brandin,Cooks,Brandin,WR,WR,03,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wy6qidqm8jjp6buvu3lp,WR,1200,7.742499999999999,2.7096986915108467,11.397499999999999,18.81551795295088,6,8,75.0,47,0,-0.11666666666666477,1.6131575802505154,-1.72982424691718,POST,19
2023,POST,19,week,5,Michael Gallup,00-0034764,Michael Gallup,M.Gallup,GAL779981,WR,WR,13,1200,2023,46150,32004741-4c77-9981-95e1-30b1c57c6002,Michael,Gallup,Michael,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tt9xpcg4x2z3osc1fcq6,WR,1200,6.551666666666666,3.0450273805928396,10.423333333333334,12.90548906314486,6,6,100.0,103,0,6.743333333333332,5.806523638471579,0.9368096948617533,POST,19
2023,POST,19,week,5,CeeDee Lamb,00-0036358,CeeDee Lamb,C.Lamb,LAM138457,WR,WR,88,1200,2023,52425,32004c41-4d13-8457-fcbe-d37fdbd87233,Cedarian,Lamb,CeeDee,SLOT_WR,WR,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/cqygs9e4ynnjdxstdfjq,WR,1200,6.446875,2.2428281974520976,12.068823529411764,42.33801073049936,9,17,52.94117647058824,110,0,3.916666666666665,4.014163495588666,-0.09749682892200084,POST,19
2023,POST,19,week,5,Jake Ferguson,00-0038041,Jake Ferguson,J.Ferguson,FER146119,TE,TE,87,1200,2023,54594,32004645-5214-6119-2797-33878db83d5a,Jake,Ferguson,Jake,SLOT_WR,WR,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/xy9bvf3d9yjprwigiqty,TE,1200,8.00625,3.2724798105309802,6.449166666666667,15.969872059430454,10,12,83.33333333333334,93,3,3.0419999999999994,2.542048172406601,0.4999518275933985,POST,19
