season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_smart_id,player_first_name,player_last_name,player_football_name,player_suffix,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_short_name,player_ngs_position,player_ngs_position_group,player_gsis_it_id,player_season_type,player_week
2016,REG,7,week,5,Marvin Jones,00-0029293,Marvin Jones,JON601697,WR,WR,11,1540,2016,32004a4f-4e60-1697-4762-9c6d786d2931,Marvin,Jones,Marvin,Jr.,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mc0dz7flilovcjxkttcx,WR,1540,3.154,1.0818041354397514,18.304000000000002,36.869032751883346,4,5,80.0,94,0,2.1599999999999997,4.235577881335,-2.075577881335,M.Jones,WR,WR,38696,REG,7
2016,REG,7,week,5,Randall Cobb,00-0028002,Randall Cobb,COB365535,WR,WR,18,1800,2016,3200434f-4236-5535-cf6f-4337b5dff0b3,Randall,Cobb,Randall,II,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mqz6skxxvjzs9pithxab,WR,1800,5.663076923076924,3.0401770326827053,6.837333333333333,28.684902388543943,11,15,73.33333333333333,95,1,5.152727272727273,4.40082894130409,0.7518983314231829,R.Cobb,SLOT_WR,WR,37139,REG,7
2016,REG,7,week,5,Jeff Janis,00-0031001,Jeff Janis,JAN413854,WR,WR,83,1800,2016,32004a41-4e41-3854-df72-ceee2d8fa78b,Jeff,Janis,Jeff,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fldhv9nvnmafss3r9tn2,WR,1800,5.866,1.953345506579629,3.5719999999999983,4.9952452872405875,2,5,40.0,9,0,2.38,3.3991906046884997,-1.0191906046884998,J.Janis,SLOT_WR,WR,41465,REG,7
2016,REG,7,week,5,Davante Adams,00-0031381,Davante Adams,ADA218591,WR,WR,17,1800,2016,32004144-4121-8591-4d26-4c0ac739af41,Davante,Adams,Davante,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ajawfxrv5pr1eehdguw0,WR,1800,5.875625000000001,2.769894770783231,10.913125,48.83649381887343,13,16,81.25,132,2,2.028461538461538,2.7705443432700387,-0.7420828048085006,D.Adams,WR,WR,41282,REG,7
2016,REG,7,week,5,Ty Montgomery,00-0032200,Ty Montgomery,MON677133,WR,WR,88,1800,2016,32004d4f-4e67-7133-aabc-f8fd3a30b39d,Ty,Montgomery,Ty,II,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pvfxavkxklvzzl3duyvv,WR,1800,8.83,3.935744134634334,1.1830769230769234,4.301616602338202,10,13,76.92307692307693,66,0,6.199,7.004892182354001,-0.8058921823540013,T.Montgomery,RB,RB,42437,REG,7
2016,REG,7,week,5,Delanie Walker,00-0024389,Delanie Walker,WAL115671,TE,TE,82,2100,2016,32005741-4c11-5671-e747-a27704ad47c0,Delanie,Walker,Delanie,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/diknegkpqy0qnri7877z,TE,2100,6.784285714285715,3.420629860835004,9.116249999999999,20.531516567664195,7,8,87.5,84,1,5.1242857142857146,4.118285400528571,1.0060003137571432,D.Walker,SLOT_WR,WR,30990,REG,7
2016,REG,7,week,5,Rishard Matthews,00-0029580,Rishard Matthews,MAT576281,WR,WR,18,2100,2016,32004d41-5457-6281-9fe1-7ae0daa1039b,Rishard,Matthews,Rishard,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fr7nzgwarzuorvi8cvlc,WR,2100,8.157999999999998,1.6560511017667192,17.470000000000002,34.42752174769854,4,7,57.14285714285714,37,0,2.535,0.984034329655,1.550965670345,R.Matthews,WR,WR,38757,REG,7
2016,REG,7,week,5,Tajae Sharpe,00-0032778,Tajae Sharpe,SHA495155,WR,WR,19,2100,2016,32005348-4149-5155-e7a8-969107ac4215,Tajae,Sharpe,Tajae,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/olezztyjrp5ysdyppfgv,WR,2100,7.965000000000001,2.839241780632294,14.061666666666667,23.752146617493874,4,6,66.66666666666666,59,0,1.4849999999999994,1.5356520712375001,-0.050652071237500707,T.Sharpe,WR,WR,43429,REG,7
2016,REG,7,week,5,Ryan Griffin,00-0030108,Ryan Griffin,GRI293499,TE,TE,84,2120,2016,32004752-4929-3499-4553-f2c6b22bb2af,Ryan,Griffin,Ryan,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ntkwyyft1r9xefhlc66m,TE,2120,2.5620000000000003,3.8499567311996685,4.102000000000001,5.520415578822707,2,5,40.0,13,0,2.914999999999999,3.9335434436799996,-1.0185434436800005,R.Griffin,TE,TE,,REG,7
2016,REG,7,week,5,DeAndre Hopkins,00-0030564,DeAndre Hopkins,HOP161500,WR,WR,10,2120,2016,3200484f-5016-1500-bfbe-c87b292b639c,DeAndre,Hopkins,DeAndre,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/boialnvkpcs0uvlbnsfv,WR,2120,6.3325,3.4725838233188804,14.173333333333332,45.77826824213387,5,12,41.66666666666667,36,0,2.1779999999999986,2.9683510482321998,-0.7903510482322011,D.Hopkins,WR,WR,,REG,7
2016,REG,7,week,5,C.J. Fiedorowicz,00-0031302,C.J. Fiedorowicz,FIE077391,TE,TE,87,2120,2016,32004649-4507-7391-241a-605c0e2d82d4,C.J.,Fiedorowicz,C.J.,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/syuzjdnhzquetrf9jqvp,TE,2120,2.8516666666666666,1.4089977236914972,8.47285714285714,15.963717600193789,5,7,71.42857142857143,35,0,1.0940000000000012,1.0273957490916001,0.06660425090840105,C.Fiedorowicz,TE,TE,,REG,7
2016,REG,7,week,5,Will Fuller,00-0033127,Will Fuller,FUL503598,WR,WR,15,2120,2016,32004655-4c50-3598-6762-28495ce40669,Will,Fuller,Will,V,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/y0y6lyylu0iq0fmqb2i0,WR,2120,6.97,1.5557730582741343,13.134285714285715,24.746319274352004,4,7,57.14285714285714,22,0,2.667499999999997,3.1384353041649997,-0.47093530416500284,W.Fuller,WR,WR,,REG,7
2016,REG,7,week,5,T.Y. Hilton,00-0029608,T.Y. Hilton,HIL775449,WR,WR,13,2200,2016,32004849-4c77-5449-32f3-1710cf2948b2,T.Y.,Hilton,T.Y.,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kbickbqrcbj2gos5ourc,WR,2200,4.964166666666666,2.475841071001066,14.999999999999998,45.01125281320329,7,12,58.333333333333336,133,1,2.1542857142857152,4.272792134967142,-2.118506420681427,T.Hilton,WR,WR,,REG,7
2016,REG,7,week,5,Jack Doyle,00-0030181,Jack Doyle,DOY403968,TE,TE,84,2200,2016,3200444f-5940-3968-7855-934761d8ebfe,Jack,Doyle,Jack,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/obbagomjnsgsyxrsolfb,TE,2200,4.192222222222222,2.6174215284197557,7.647,19.122280570142536,9,10,90.0,78,1,2.7322222222222217,3.469289276335555,-0.7370670541133335,J.Doyle,TE,TE,,REG,7
