season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_suffix,player_season_type,player_week
2019,POST,19,week,5,Adam Thielen,00-0030035,Adam Thielen,A.Thielen,THI510348,WR,WR,19,3000,2019,40488,32005448-4951-0348-440c-28f32f21652b,Adam,Thielen,Adam,WR,WR,19,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/stmxpojttikyk6i8hgi0,WR,3000,5.727142857142858,3.52166929081931,8.147142857142857,34.250195183472464,5,7,71.42857142857143,50,0,2.1799999999999997,3.3578880607826704,-1.1778880607826707,,POST,19
2019,POST,19,week,5,Stefon Diggs,00-0031588,Stefon Diggs,S.Diggs,DIG218895,WR,WR,14,3000,2019,42489,32004449-4721-8895-fc23-d2bf4c921bd4,Stefon,Diggs,Stefon,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wrvjgnqxlwmh3jcpwknm,WR,3000,5.212,1.6689304250486223,15.594,46.82601645546814,2,5,40.0,57,1,15.520000000000001,11.78953399369857,3.730466006301432,,POST,19
2019,POST,19,week,5,George Kittle,00-0033288,George Kittle,G.Kittle,KIT388290,TE,TE,85,4500,2019,44959,32004b49-5438-8290-eeed-c9c9cca62ec1,George,Kittle,George,TE,TE,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/n5dvz5zxymahzxnl4cq3,TE,4500,7.585,2.9666706931164,4.430000000000001,12.862203124092675,3,5,60.0,16,0,4.929999999999999,4.324488611369058,0.6055113886309407,,POST,19
2019,POST,19,week,5,Kendrick Bourne,00-0033307,Kendrick Bourne,K.Bourne,BOU434790,WR,WR,84,4500,2019,45185,3200424f-5543-4790-acfc-7b92d77f3c8b,Kendrick,Bourne,Kendrick,WR,WR,84,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ds0gb18xysmfji01ma58,WR,4500,6.196,1.5222149219363623,11.372000000000002,33.017827071598624,3,5,60.0,40,1,1.7600000000000005,1.7254238616021194,0.034576138397881095,,POST,19
2019,POST,19,week,5,Deebo Samuel,00-0035719,Deebo Samuel,D.Samuel,SAM636097,WR,WR,19,4500,2019,47819,32005341-4d63-6097-eab1-34810e00be67,Tyshun,Samuel,Deebo,WR,WR,19,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lo27cc8jxyof165cquiw,WR,4500,7.078333333333334,2.98942760672994,10.551666666666668,36.763254166424716,3,6,50.0,42,0,5.263333333333333,3.0319341873091616,2.231399146024171,,POST,19
2019,POST,19,week,5,Tyler Lockett,00-0032211,Tyler Lockett,T.Lockett,LOC420915,WR,WR,16,4600,2019,42412,32004c4f-4342-0915-1af7-ec50f437887c,Tyler,Lockett,Tyler,SLOT_WR,WR,16,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kwcxus7rlqurps3gbbwu,WR,4600,4.952,3.2226264201060824,12.594000000000001,37.87555261495895,9,10,90.0,136,1,3.438888888888889,2.7138755737206486,0.7250133151682405,,POST,19
2019,POST,19,week,5,Jacob Hollister,00-0033387,Jacob Hollister,J.Hollister,HOL292467,TE,TE,48,4600,2019,45281,3200484f-4c29-2467-de51-661befd08df1,Jacob,Hollister,Jacob,TE,TE,48,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ekswzksp2camcm4yrznj,TE,4600,3.0649999999999995,2.358179923741623,5.746666666666666,10.36961294397161,5,6,83.33333333333334,47,0,3.0519999999999996,2.1712196843740914,0.8807803156259082,,POST,19
2019,POST,19,week,5,D.K. Metcalf,00-0035640,D.K. Metcalf,DK.Metcalf,MET363377,WR,WR,14,4600,2019,47847,32004d45-5436-3377-5806-d2746f1b94aa,DeKaylin,Metcalf,DK,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fcqab5su86kysoaeghmn,WR,4600,7.44,2.3649392794394597,15.018,22.58277946527924,4,5,80.0,59,0,4.887500000000001,2.6768049838074095,2.2106950161925916,,POST,19
2019,POST,20,week,5,Jimmy Graham,00-0027696,Jimmy Graham,J.Graham,GRA207087,TE,TE,80,1800,2019,35534,32004752-4120-7087-8983-64184106d580,Jimmy,Graham,Jimmy,TE,WR,80,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/k9ab1aej2g0xs0q83nio,TE,1800,9.12,5.482278345404408,10.029999999999998,15.651332625928466,4,5,80.0,59,0,8.987500000000002,8.018089963010539,0.9694100369894638,,POST,20
2019,POST,20,week,5,Davante Adams,00-0031381,Davante Adams,D.Adams,ADA218591,WR,WR,17,1800,2019,41282,32004144-4121-8591-4d26-4c0ac739af41,Davante,Adams,Davante,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ajawfxrv5pr1eehdguw0,WR,1800,6.4255555555555555,4.6156207335158275,14.243636363636362,48.8983209537482,9,11,81.81818181818183,138,0,5.825555555555557,5.45935206599429,0.3662034895612667,,POST,20
