season,season_type,week,game_id,play_id,team_id,team_abbr,play_game_key,play_sequence,play_description,play_type_code,play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_home_score,play_visitor_score,play_direction,play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_is_change_of_possession
2018,REG,3,2018092309,138,5110,WAS,57609,138,"(13:02) A.Smith pass deep middle to P.Richardson for 46 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,5110,13:02,GB 46,46,GB,64,2018-09-23T17:05:13.000Z,false,false,true,false,false,6,0,right,APPROVED,0,0,true,,,
2018,REG,3,2018092310,2372,2510,LA,57610,2372,"(12:51) (Shotgun) J.Goff pass deep right to C.Kupp for 53 yards, TOUCHDOWN [U.Nwosu].",2,play_type_pass,3,3,8,2510,12:51,LA 47,47,LA,63,2018-09-23T21:51:19.000Z,false,false,true,false,false,27,13,left,APPROVED,21,13,true,,,
2018,REG,3,2018092311,141,3800,ARI,57611,141,"(12:20) S.Bradford pass deep left to R.Seals-Jones for 35 yards, TOUCHDOWN [A.Hicks].",2,play_type_pass,1,2,6,3800,12:20,CHI 35,35,CHI,45,2018-09-23T20:29:29.000Z,false,false,true,false,false,6,0,left,APPROVED,0,0,true,,,
2018,REG,3,2018092400,539,3900,PIT,57614,539,"(6:00) (Shotgun) B.Roethlisberger pass short left to V.McDonald for 75 yards, TOUCHDOWN.",2,play_type_pass,1,3,10,3900,06:00,PIT 25,25,PIT,35,2018-09-25T00:38:11.000Z,false,false,true,false,false,7,6,right,APPROVED,7,0,true,,,
2018,REG,3,2018092400,3834,4900,TB,57614,3834,"(5:49) (Shotgun) R.Fitzpatrick pass deep left to M.Evans for 24 yards, TOUCHDOWN [S.Tuitt].",2,play_type_pass,4,2,10,4900,05:49,PIT 24,24,PIT,34,2018-09-25T03:11:45.000Z,false,false,true,false,false,26,30,left,APPROVED,20,30,true,,,
2018,REG,4,2018092700,1600,2510,LA,57615,1600,"(3:55) (Shotgun) J.Goff pass deep right to C.Kupp for 19 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,2510,03:55,MIN 19,19,MIN,91,2018-09-28T01:27:58.000Z,false,false,true,false,false,20,17,right,APPROVED,14,17,true,,,
2018,REG,4,2018092700,1960,2510,LA,57615,1960,"(1:33) (Shotgun) J.Goff pass deep middle to B.Cooks for 47 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,2510,01:33,MIN 47,47,MIN,63,2018-09-28T01:42:04.000Z,false,false,true,false,false,27,17,right,APPROVED,21,17,true,,,
2018,REG,4,2018093002,879,1540,DET,57618,879,"(:30) (Shotgun) M.Stafford pass short right to G.Tate for 45 yards, TOUCHDOWN. Penalty on DAL-R.Gregory, Illegal Use of Hands, declined.",2,play_type_pass,1,3,3,1540,00:30,DAL 45,45,DAL,65,2018-09-30T17:40:50.000Z,false,false,true,false,false,3,6,right,APPROVED,3,0,true,,,
2018,REG,4,2018093002,3466,1540,DET,57618,3466,"(2:24) (Shotgun) M.Stafford pass deep right to G.Tate for 38 yards, TOUCHDOWN.",2,play_type_pass,4,2,12,1540,02:24,DAL 38,38,DAL,48,2018-09-30T19:45:17.000Z,false,false,true,false,false,23,23,left,APPROVED,23,17,true,,,
2018,REG,4,2018093004,3083,2200,IND,57620,3083,"(5:21) (Shotgun) A.Luck pass short right to N.Hines for 14 yards, TOUCHDOWN.",2,play_type_pass,3,1,10,2200,05:21,HOU 14,14,HOU,24,2018-09-30T19:16:01.000Z,false,false,true,false,false,16,28,left,APPROVED,10,28,true,,,
