season,season_type,week,game_id,play_id,team_id,team_abbr,play_game_key,play_sequence,play_description,play_type_code,play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_home_score,play_visitor_score,play_direction,play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_is_change_of_possession,play_actual_yards_to_go,play_actual_yardline_for_first_down
2019,REG,1,2019090500,1159,1800,GB,57900,1159.0,"(13:15) A.Rodgers pass short right to J.Graham for 8 yards, TOUCHDOWN. Penalty on CHI, Defensive Too Many Men on Field, declined.",2,play_type_pass,2,1,8,1800,13:15,CHI 8,8,CHI,18,2019-09-06T01:07:20.000Z,false,false,true,true,false,,,left,APPROVED,,,false,true,true,,,
2019,REG,1,2019090500,4576,1800,GB,57900,4576.0,(1:09) (Shotgun) M.Trubisky sacked at CHI 5 for -11 yards (P.Smith).,2,play_type_sack,4,4,8,0810,01:09,CHI 16,16,CHI,94,2019-09-06T03:27:50.000Z,false,false,false,false,false,3,10,left,APPROVED,3,10,false,true,true,,,
2019,REG,1,2019090801,398,2100,TEN,57902,398.0,(8:59) M.Mariota pass deep middle to A.Brown to CLV 20 for 47 yards (D.Randall).,2,play_type_pass,1,2,10,2100,08:59,TEN 33,33,TEN,43,2019-09-08T17:17:06.000Z,false,false,false,false,false,6,0,right,APPROVED,6,0,false,true,true,,,
2019,REG,1,2019090801,655,2100,TEN,57902,655.0,(4:23) (Shotgun) B.Mayfield sacked at CLV 6 for -15 yards (C.Wake).,2,play_type_sack,1,3,13,1050,04:23,CLE 21,21,CLE,89,2019-09-08T17:30:21.000Z,false,false,false,false,false,6,3,left,APPROVED,6,3,false,true,true,false,13.85,76.33
2019,REG,1,2019090801,3074,2100,TEN,57902,3074.0,"(2:10) M.Mariota pass short left to D.Henry for 75 yards, TOUCHDOWN. The Replay Official reviewed the play for possible offensive pass interference, and the play was Upheld. The ruling on the field stands.",2,play_type_pass,3,1,10,2100,02:10,TEN 25,25,TEN,35,2019-09-08T19:23:31.000Z,false,false,true,false,false,13,21,right,APPROVED,13,15,true,true,true,,,
2019,REG,1,2019090801,4040,2100,TEN,57902,4040.0,"(3:11) (Shotgun) B.Mayfield pass short left intended for J.Landry INTERCEPTED by M.Butler at CLV 38. M.Butler for 38 yards, TOUCHDOWN.",2,play_type_pass,4,1,10,1050,03:11,CLE 30,30,CLE,40,2019-09-08T20:05:22.000Z,false,false,true,false,false,13,42,right,AUDITED,13,36,true,,,,,
2019,REG,1,2019090802,103,2250,JAX,57903,103.0,"(13:36) (Shotgun) P.Mahomes pass short middle to S.Watkins for 68 yards, TOUCHDOWN.",2,play_type_pass,1,3,3,2310,13:36,KC 32,32,KC,78,2019-09-08T17:06:03.000Z,false,false,true,false,false,0,6,left,APPROVED,0,0,true,true,true,,,
2019,REG,1,2019090802,584,2250,JAX,57903,584.0,"(5:31) (Shotgun) N.Foles pass deep right to D.Chark for 35 yards, TOUCHDOWN [C.Jones].",2,play_type_pass,1,3,8,2250,05:31,KC 35,35,KC,75,2019-09-08T17:29:07.000Z,false,false,true,false,false,6,10,right,APPROVED,0,10,true,true,true,,,
2019,REG,1,2019090803,683,0325,BAL,57904,683.0,"(4:28) (Shotgun) L.Jackson pass deep middle to M.Brown for 83 yards, TOUCHDOWN.",2,play_type_pass,1,3,3,0325,04:28,BAL 17,17,BAL,27,2019-09-08T17:33:55.000Z,false,false,true,false,false,0,20,right,APPROVED,0,14,true,true,true,,,
2019,REG,1,2019090803,1082,0325,BAL,57904,1082.0,"(13:56) (Shotgun) L.Jackson pass deep middle to W.Snead for 33 yards, TOUCHDOWN.",2,play_type_pass,2,2,8,0325,13:56,MIA 33,33,MIA,43,2019-09-08T17:50:08.000Z,false,false,true,false,false,0,27,left,APPROVED,0,21,true,true,true,,,
