season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,league_average_separation_to_qb,esb_id,gsis_id,team_id,player_name,short_name,position,headshot,jersey_number,tackles,assists,sacks,forced_fumbles,blitz_count,avg_separation_to_qb
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,home,1,4.577731882513236,SMI827086,00-0031576,0325,Za'Darius Smith,,OLB,https://static.www.nfl.com/image/private/{formatInstructions}/league/go23rugyophht4ytnse0,90,1,0,0,0,15,4.645817984649583
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,home,2,4.577731882513236,HEN713344,00-0032409,0325,Willie Henry,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/arr7gxtbc33limkpftjn,69,1,0,0,0,15,4.583909470826195
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,home,3,4.577731882513236,URB226521,00-0031177,0325,Brent Urban,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/ghvhhwjcta66czsnkqh2,96,4,0,1,2,14,4.442058469398444
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,home,4,4.577731882513236,KAU453616,00-0033117,0325,Bronson Kaufusi,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/pxy1yh8rhca3a6zxtpum,92,2,0,1,0,10,4.789912217577124
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,visitor,1,4.577731882513236,AND384426,00-0033525,5110,Ryan Anderson,,LB,https://static.www.nfl.com/image/private/{formatInstructions}/league/zartscc9rsrnq1pb3319,52,2,1,0,0,12,3.6723972711961523
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,visitor,2,4.577731882513236,CAR629400,00-0028100,5110,Chris Carter,,OLB,https://static.www.nfl.com/image/private/{formatInstructions}/league/ls8fucfotvwxyro3s3k4,55,3,0,0,0,11,3.826217109588441
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,visitor,3,4.577731882513236,LAN605231,00-0032369,5110,Anthony Lanier,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/jn2zsvzcxbaexqba7tct,72,2,0,1,0,11,3.5610516991016925
2017,PRE,1,2017081051,57171,08/10/2017,0325,BAL,5110,WAS,visitor,4,4.577731882513236,ALL512725,00-0033523,5110,Jonathan Allen,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/ndmkennhv4uxb2spuecz,95,1,0,1,0,11,4.733925489539486
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,home,1,4.577731882513236,WAS013310,00-0033037,0610,Adolphus Washington,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/h7mrljv0qnfi3twxtdfb,92,0,0,0,0,16,5.463564471034479
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,home,2,4.577731882513236,WOR723988,00-0029257,0610,Jerel Worthy,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/liufqo5er7knvqsmikg3,94,1,1,0,0,15,4.884945716566822
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,home,3,4.577731882513236,MET574520,00-0033184,0610,Jake Metz,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/llduus0plcptwxjddooj,96,1,0,0,0,15,5.983133587423159
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,home,4,4.577731882513236,LEW507543,00-0033617,0610,Marquavius Lewis,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/q49kkceqjuiosebjlypl,97,4,0,1,0,7,5.8248061116647865
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,visitor,1,4.577731882513236,BOW172625,00-0033324,3000,Tashawn Bower,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/n01mbb0t4juxohjoaw2t,64,2,0,1,0,22,4.399590708000958
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,visitor,2,4.577731882513236,ODE690714,00-0033969,3000,Ifeadi Odenigbo,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/ybyf6tw7vvnbzet0p2id,60,1,1,0,0,15,3.6461253403056153
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,visitor,3,4.577731882513236,SUT768626,00-0031048,3000,Will Sutton,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lk1xatrnju7j0icqebur,90,1,1,0,0,14,3.889657385112596
2017,PRE,1,2017081052,57172,08/10/2017,0610,BUF,3000,MIN,visitor,4,4.577731882513236,WEA206755,00-0032448,3000,Stephen Weatherly,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/yiquswq2w5wl2wjejgsw,91,0,1,0,0,13,4.2859665432219085
2017,PRE,1,2017081053,57174,08/10/2017,0810,CHI,1400,DEN,home,1,4.577731882513236,TIM755074,00-0031915,0810,John Timu,,ILB,https://static.www.nfl.com/image/private/{formatInstructions}/league/iglh93npg5miisj542tw,53,3,0,1,0,1,2.2545953073667038
