season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_esb_id,player_position_group,player_position,player_current_team_id,player_season,player_smart_id,player_first_name,player_last_name,player_football_name,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_short_name,player_jersey_number,player_gsis_it_id,player_ngs_position,player_ngs_position_group,player_suffix,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_season_type,player_week
2016,POST,19,week,10,0200,00-0032058,Tevin Coleman,COL359050,RB,RB,0200,2016,3200434f-4c35-9050-eb7e-20c726e53f5b,Tevin,Coleman,Tevin,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nabesbpd8nocsy6aplmj,4.958421052631578,27.27272727272727,3.1467000000000005,11,57,5.181818181818182,0,T.Coleman,26,42416,RB,RB,,,,,,POST,19
2016,POST,19,week,10,1200,00-0033045,Ezekiel Elliott,ELL289284,RB,RB,1200,2016,3200454c-4c28-9284-cdcc-74694c8d1749,Ezekiel,Elliott,Ezekiel,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/e2h7hohon748tyzzu3z5,3.457280000000001,27.27272727272727,3.1045000000000003,22,125,5.681818181818182,0,E.Elliott,21,43293,RB,RB,,,,,,POST,19
2016,POST,19,week,10,1800,00-0032200,Ty Montgomery,MON677133,RB,RB,1800,2016,32004d4f-4e67-7133-aabc-f8fd3a30b39d,Ty,Montgomery,Ty,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pvfxavkxklvzzl3duyvv,3.8982978723404247,18.181818181818183,2.9605,11,47,4.2727272727272725,2,T.Montgomery,88,,RB,RB,II,,,,,POST,19
2016,POST,19,week,10,2120,00-0029615,Lamar Miller,MIL373118,RB,RB,2120,2016,32004d49-4c37-3118-7861-c1aecae47732,Lamar,Miller,Lamar,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/b0ggwcqngfyq7ccyksgv,4.077837837837838,21.052631578947366,2.701684210526316,19,74,3.8947368421052633,0,L.Miller,26,,RB,RB,,,,,,POST,19
2016,POST,19,week,10,3200,00-0028087,Dion Lewis,LEW218646,RB,RB,3200,2016,32004c45-5721-8646-e7c5-72a7c65dcee8,Dion,Lewis,Dion,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/erzmtaaz3eimbg998hyq,5.606829268292682,30.76923076923077,3.1199166666666667,13,41,3.1538461538461537,1,D.Lewis,33,37224,RB,RB,,,,,,POST,19
2016,POST,19,week,10,3900,00-0030496,Le'Veon Bell,BEL474300,RB,RB,3900,2016,32004245-4c47-4300-1a03-0d70c9d24d43,Le'Veon,Bell,Le'Veon,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lz4fqlhyoowrecnzp7dr,3.055999999999999,10.0,2.974896551724138,30,170,5.666666666666667,0,L.Bell,26,,RB,RB,,,,,,POST,19
2016,POST,19,week,10,4600,00-0031897,Thomas Rawls,RAW440791,RB,RB,4600,2016,32005241-5744-0791-8a53-7397fa6fe147,Thomas,Rawls,Thomas,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/uxyelm5j4nm67gmnbih9,4.834411764705882,0.0,2.393666666666667,11,34,3.090909090909091,0,T.Rawls,34,,RB,RB,,,,,,POST,19
2016,POST,20,week,10,0200,00-0031285,Devonta Freeman,FRE174508,RB,RB,0200,2016,32004652-4517-4508-d090-1405fbc174e5,Devonta,Freeman,Devonta,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/vjhvfwypu1byxfo2uvki,4.913095238095239,42.857142857142854,2.69425,14,42,3.0,0,D.Freeman,24,41332,RB,RB,Jr.,,,,,POST,20
2016,POST,20,week,10,0200,00-0032058,Tevin Coleman,COL359050,RB,RB,0200,2016,3200434f-4c35-9050-eb7e-20c726e53f5b,Tevin,Coleman,Tevin,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nabesbpd8nocsy6aplmj,5.8100000000000005,54.54545454545454,3.1761999999999992,11,29,2.6363636363636362,1,T.Coleman,26,42416,RB,RB,,,,,,POST,20
2016,POST,20,week,10,3200,00-0027325,LeGarrette Blount,BLO626278,RB,RB,3200,2016,3200424c-4f62-6278-90e7-1045a3f929f4,LeGarrette,Blount,LeGarrette,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/s3eilto1yi0yhoamvvo3,4.6514893617021285,43.75,2.6117500000000002,16,47,2.9375,1,L.Blount,29,35838,RB,RB,,,,,,POST,20
2016,POST,20,week,10,3900,00-0024242,DeAngelo Williams,WIL221323,RB,RB,3900,2016,32005749-4c22-1323-d9b8-e9bb55734105,DeAngelo,Williams,DeAngelo,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/oky9ooitgqa1fgwdll6b,5.413235294117647,14.285714285714285,2.7115454545454543,14,34,2.4285714285714284,1,D.Williams,34,,RB,RB,,,,,,POST,20
2016,POST,22,week,10,0200,00-0031285,Devonta Freeman,FRE174508,RB,RB,0200,2016,32004652-4517-4508-d090-1405fbc174e5,Devonta,Freeman,Devonta,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/vjhvfwypu1byxfo2uvki,3.8302666666666663,9.090909090909092,3.2381249999999993,11,75,6.818181818181818,1,D.Freeman,24,41332,RB,RB,Jr.,,,,,POST,22
2016,POST,22,week,10,3200,00-0027325,LeGarrette Blount,BLO626278,RB,RB,3200,2016,3200424c-4f62-6278-90e7-1045a3f929f4,LeGarrette,Blount,LeGarrette,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/s3eilto1yi0yhoamvvo3,5.587741935483872,0.0,2.8455454545454546,11,31,2.8181818181818183,0,L.Blount,29,,RB,RB,,,,,,POST,22
2016,PRE,0,season,20,0200,00-0029298,Cyrus Gray,GRA622876,RB,RB,0200,2016,32004752-4162-2876-491a-15f53d3f80f1,Cyrus,Gray,Cyrus,CUT,,4.440365853658536,5.0,2.4135,20,82,4.1,0,,32,,,,,,,,,,
2016,PRE,0,season,20,0200,00-0031682,Terron Ward,WAR275043,RB,RB,0200,2016,32005741-5227-5043-180e-d6f6ba910c26,Terron,Ward,Terron,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wcq3c0qgpkzoegi0yn6w,5.179193548387098,40.909090909090914,,22,62,2.8181818181818183,2,,28,42713,RB,RB,,,,,,,
2016,PRE,0,season,20,0200,00-0032611,Jhurrell Pressley,PRE433747,RB,RB,0200,2016,32005052-4543-3747-67b4-e49df257cc8b,Jhurrell,Pressley,Jhurrell,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/yepqigodlltabgzgohrd,5.382125000000001,0.0,2.9394,28,80,2.857142857142857,0,,,,,,,,,,,,
2016,PRE,0,season,20,0325,00-0030685,Stephen Houston,HOU736236,RB,RB,0325,2016,3200484f-5573-6236-a264-5464bb986c6d,Stephen,Houston,Stephen,DEV,,5.021012658227847,12.5,2.4566,24,79,3.2916666666666665,0,S.Houston,33,41522,,,,,,,,,
2016,PRE,0,season,20,0325,00-0031375,Terrance West,WES395447,RB,RB,0325,2016,32005745-5339-5447-4e79-696bc77e8745,Terrance,West,Terrance,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/vzmf3p3k4ywfa5vjn9za,4.807029702970296,28.000000000000004,2.5176666666666665,25,101,4.04,2,T.West,28,,RB,RB,,,,,,,
2016,PRE,0,season,20,0325,00-0031577,Javorius Allen,ALL469092,RB,RB,0325,2016,3200414c-4c46-9092-5c78-2e9c81c3e122,Javorius,Allen,Javorius,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jguqo1kwlkfamf537de0,6.375813953488372,4.761904761904762,2.2970625,21,43,2.0476190476190474,0,,37,,RB,RB,,,,,,,
2016,PRE,0,season,20,0325,00-0032411,Kenneth Dixon,DIX440855,RB,RB,0325,2016,32004449-5844-0855-fbe7-7426a38c0ffc,Kenneth,Dixon,Kenneth,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gzfijcqkmupkv6ajjruz,3.694392523364486,13.636363636363635,2.334,22,107,4.863636363636363,0,K.Dixon,30,,RB,RB,Jr.,,,,,,
2016,PRE,0,season,20,0610,00-0029588,Dan Herron,HER657540,RB,RB,0610,2016,32004845-5265-7540-558e-cbb0a1cca7b2,Dan,Herron,Dan,CUT,,5.478923076923076,27.586206896551722,2.3161,29,65,2.2413793103448274,0,D.Herron,47,38721,QB,QB,,,,,,,
2016,PRE,0,season,20,0610,00-0030786,James Wilder Jr.,WIL045793,RB,RB,0610,2016,32005749-4c04-5793-a86b-50431a572072,James Jr.,Wilder,James,RES,,6.600943396226415,18.181818181818183,3.082888888888889,22,53,2.409090909090909,0,J.Wilder,38,41624,,,Jr.,,,,,,
2016,PRE,0,season,20,0610,00-0032975,Jonathan Williams,WIL384555,RB,RB,0610,2016,32005749-4c38-4555-6a9c-d6163c44fa20,Jonathan,Williams,Jonathan,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/a6dn005mp5khbug4bfit,4.25909090909091,15.384615384615385,2.3785263157894736,26,99,3.8076923076923075,2,J.Williams,31,,RB,RB,,,,,,,
2016,PRE,0,season,20,0750,00-0031599,Cameron Artis-Payne,ART387205,RB,RB,0750,2016,32004152-5438-7205-b9ec-41e76cfc932f,Cameron,Artis-Payne,Cameron,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/vaeghufm3dkzmsjhb8hg,4.018080000000001,8.571428571428571,2.6338235294117656,35,125,3.5714285714285716,0,,34,,RB,RB,,,,,,,
2016,PRE,0,season,20,0750,00-0031875,Brandon Wegher,WEG651250,RB,RB,0750,2016,32005745-4765-1250-9306-bb35313defbf,Brandon,Wegher,Brandon,CUT,,6.138674698795181,12.5,3.0101666666666667,32,83,2.59375,0,B.Wegher,32,42906,,,,,,,,,
2016,PRE,0,season,20,0810,00-0032780,Jordan Howard,HOW239418,RB,RB,0810,2016,3200484f-5723-9418-9826-088b7176f34d,Jordan,Howard,Jordan,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zgrflibbgonhzudexdlr,3.8441040462427742,13.88888888888889,2.59255,36,173,4.805555555555555,1,J.Howard,24,,RB,RB,,,,,,,
