season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_season_type,player_week
2021,POST,20,week,10,0610,00-0035250,Devin Singletary,D.Singletary,SIN186919,RB,RB,26,0610,2021,47857,32005349-4e18-6919-d1e6-003f4632ba87,Devin,Singletary,Devin,RB,RB,26,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/p6ctkdyvfwi8a7cwln0h,6.921538461538461,0.0,3.4597777777777776,10,26,2.6,1,35.860348472726095,-9.860348472726095,-0.9860348472726095,0.2,POST,20
2021,POST,20,week,10,0920,00-0033897,Joe Mixon,J.Mixon,MIX564388,RB,RB,28,0920,2021,44860,32004d49-5856-4388-c611-05b6fcff1d1d,Joe,Mixon,Joe,RB,RB,28,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pucb3gqsidpxzivdp9hd,4.408888888888889,7.142857142857142,2.74775,14,54,3.857142857142857,1,69.3940105470831,-15.394010547083099,-1.099572181934507,0.35714285714285715,POST,20
2021,POST,20,week,10,1800,00-0033293,Aaron Jones,A.Jones,JON026624,RB,RB,33,1800,2021,44995,32004a4f-4e02-6624-33bd-3ba151b7013d,Aaron,Jones,Aaron,RB,RB,33,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/aspau9t4rjwirkedoz5o,4.292926829268293,0.0,2.4678,12,41,3.4166666666666665,0,45.31727110013546,-4.317271100135457,-0.3597725916779548,0.4166666666666667,POST,20
2021,POST,20,week,10,2100,00-0032764,Derrick Henry,D.Henry,HEN602843,RB,RB,22,2100,2021,43334,32004845-4e60-2843-9b64-3cd8fac319c3,Derrick,Henry,Derrick,RB,RB,22,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ved7bttliyuaps02d77d,5.121935483870968,55.00000000000001,2.6929375,20,62,3.1,1,70.24555018689641,-8.24555018689641,-0.41227750934482044,0.3,POST,20
2021,POST,20,week,10,2310,00-0031376,Jerick McKinnon,J.McKinnon,MCK656764,RB,RB,1,2310,2021,41325,32004d43-4b65-6764-e685-6b07f4dbac28,Jerick,McKinnon,Jerick,RB,RB,01,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ccukshhoancicaw7j0nh,4.871666666666667,0.0,2.733625,10,24,2.4,0,31.368486337246157,-7.368486337246157,-0.7368486337246157,0.4,POST,20
2021,POST,20,week,10,2510,00-0036414,Cam Akers,C.Akers,AKE415291,RB,RB,23,2510,2021,52460,3200414b-4541-5291-73e4-84e805a9ffce,Cam,Akers,Cam,RB,RB,23,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/v4mc7guudoifyi2z1ag0,7.198541666666667,12.5,2.9623999999999997,24,48,2.0,0,69.37862753589215,-21.37862753589215,-0.8907761473288396,0.2916666666666667,POST,20
2021,POST,20,week,10,4500,00-0036567,Elijah Mitchell,E.Mitchell,MIT257014,RB,RB,25,4500,2021,53623,32004d49-5425-7014-1099-952db785e3db,Elijah,Mitchell,Elijah,RB,RB,25,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/csra0oiqwh6i2utjdlud,6.159811320754717,41.17647058823529,3.0119999999999996,17,53,3.1176470588235294,0,56.457846711206614,-9.457846711206614,-0.5911154194504133,0.3125,POST,20
2021,POST,20,week,10,4900,00-0033856,Leonard Fournette,L.Fournette,FOU564970,RB,RB,7,4900,2021,44816,3200464f-5556-4970-e13e-15f65e552496,Leonard,Fournette,Leonard,RB,RB,07,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jcmgyeiruehjjdpfkyf4,3.497058823529412,15.384615384615385,2.6283333333333334,13,51,3.923076923076923,2,47.909840110044456,3.090159889955544,0.23770460691965722,0.38461538461538464,POST,20
2021,POST,21,week,10,0920,00-0033897,Joe Mixon,J.Mixon,MIX564388,RB,RB,28,0920,2021,44860,32004d49-5856-4388-c611-05b6fcff1d1d,Joe,Mixon,Joe,RB,RB,28,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pucb3gqsidpxzivdp9hd,4.428750000000001,19.047619047619047,3.0207368421052627,21,88,4.190476190476191,0,86.05399479063328,1.9460052093667173,0.09266691473174844,0.3333333333333333,POST,21
2021,POST,21,week,10,2310,00-0031376,Jerick McKinnon,J.McKinnon,MCK656764,RB,RB,1,2310,2021,41325,32004d43-4b65-6764-e685-6b07f4dbac28,Jerick,McKinnon,Jerick,RB,RB,01,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ccukshhoancicaw7j0nh,2.8223076923076915,0.0,2.7364166666666665,12,65,5.416666666666667,0,58.4644261277949,6.535573872205099,0.5446311560170916,0.5,POST,21
