season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_suffix,player_season_type,player_week
2018,POST,18,week,10,0810,00-0032780,Jordan Howard,J.Howard,HOW239418,RB,RB,24,0810,2018,43439,3200484f-5723-9418-9826-088b7176f34d,Jordan,Howard,Jordan,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zgrflibbgonhzudexdlr,3.7777142857142865,20.0,2.4361250000000005,10,35,3.5,0,37.34972561624976,-2.3497256162497635,-0.23497256162497634,0.4,,POST,18
2018,POST,18,week,10,1200,00-0033045,Ezekiel Elliott,E.Elliott,ELL289284,RB,RB,21,1200,2018,43293,3200454c-4c28-9284-cdcc-74694c8d1749,Ezekiel,Elliott,Ezekiel,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/e2h7hohon748tyzzu3z5,3.3761313868613136,38.46153846153847,2.861307692307692,26,137,5.269230769230769,1,98.0635585772074,38.9364414227926,1.497555439338177,0.46153846153846156,,POST,18
2018,POST,18,week,10,2200,00-0033951,Marlon Mack,M.Mack,MAC338783,RB,RB,25,2200,2018,44956,32004d41-4333-8783-1057-4314041567c5,Marlon,Mack,Marlon,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/unt9jomg4vkmatqez2f1,2.7614864864864868,20.833333333333336,2.736086956521739,24,148,6.166666666666667,1,114.01321307367417,33.986786926325834,1.4161161219302432,0.375,,POST,18
2018,POST,18,week,10,3700,00-0023564,Darren Sproles,D.Sproles,SPR711296,RB,RB,43,3700,2018,29957,32005350-5271-1296-dc4d-133c41f445ef,Darren,Sproles,Darren,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gvj5ng27blmwuz170aeo,7.737142857142857,0.0,2.8169,13,21,1.6153846153846154,0,39.24766171776989,-18.247661717769887,-1.403666285982299,0.15384615384615385,,POST,18
2018,POST,18,week,10,4400,00-0032144,Melvin Gordon,M.Gordon,GOR275321,RB,RB,28,4400,2018,42358,3200474f-5227-5321-5a9f-5d54a292e030,Melvin,Gordon,Melvin,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wxecbktyxov6smuaww2i,7.193,47.05882352941176,2.6338571428571425,17,40,2.3529411764705883,1,44.15133357754058,-7.1513335775405835,-0.44695834859628647,0.375,III,POST,18
2018,POST,18,week,10,4400,00-0033699,Austin Ekeler,A.Ekeler,EKE189430,RB,RB,30,4400,2018,45573,3200454b-4518-9430-b8b6-2128b5b3e282,Austin,Ekeler,Austin,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kbo1ouatld3unac5ijrm,5.445862068965518,27.27272727272727,2.5858999999999996,11,29,2.6363636363636362,0,46.22808166839608,-17.22808166839608,-1.5661892425814619,0.18181818181818182,,POST,18
2018,POST,18,week,10,4600,00-0033594,Chris Carson,C.Carson,CAR568144,RB,RB,32,4600,2018,45062,32004341-5256-8144-487d-eff74f49df34,Christopher,Carson,Chris,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pen7in9wacdqahbxsqly,7.172,23.076923076923077,2.8557272727272727,13,20,1.5384615384615385,0,39.814176796642535,-19.814176796642535,-1.5241674458955796,0.23076923076923078,,POST,18
2018,POST,19,week,10,1200,00-0033045,Ezekiel Elliott,E.Elliott,ELL289284,RB,RB,21,1200,2018,43293,3200454c-4c28-9284-cdcc-74694c8d1749,Ezekiel,Elliott,Ezekiel,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/e2h7hohon748tyzzu3z5,7.085106382978723,40.0,3.0122941176470586,20,47,2.35,1,65.21539815048477,-23.215398150484774,-1.2218630605518301,0.2631578947368421,,POST,19
2018,POST,19,week,10,2310,00-0030874,Damien Williams,Dam. Williams,WIL206455,RB,RB,26,2310,2018,41712,32005749-4c20-6455-63c2-d08306a5df61,Damien,Williams,Damien,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ie8sxkfm8sme47nach2b,3.6451162790697675,8.0,3.028318181818182,25,129,5.16,1,132.6913719802856,-3.691371980285595,-0.1476548792114238,0.36,,POST,19
2018,POST,19,week,10,2510,00-0029854,C.J. Anderson,C.Anderson,AND163330,RB,RB,35,2510,2018,40311,3200414e-4416-3330-3837-6f82fc6855cf,Cortrelle,Anderson,C.J.,RB,RB,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jqqdxuowpdgl06zy0g0a,3.1222764227642283,17.391304347826086,2.5946363636363636,23,123,5.3478260869565215,2,90.76792728858538,32.23207271141462,1.401394465713679,0.6956521739130435,,POST,19
