season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,league_average_receiver_separation,esb_id,team_id,player_name,short_name,position,headshot,jersey_number,rec_yards,targets,receptions,touchdowns,reception_info_receptions,reception_info_targets,reception_info_touchdowns,reception_info_avg_separation,reception_info_avg_cushion,reception_info_avg_air_yards
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,home,1,2.9866993023508566,MIT781005,1050,Zaire Mitchell-Paden,Z.Mitchell-Paden,TE,https://static.www.nfl.com/image/private/{formatInstructions}/league/gns7kvjoeldrmabildao,83,22,5,3,0,3,5,0,3.645854147302942,10.3875,3.7480000000000033
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,home,2,2.9866993023508566,GRE001192,1050,Thomas Greaney,T.Greaney,TE,,81,15,4,3,0,3,4,0,2.1685331854617864,5.74,4.657500000000001
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,home,3,2.9866993023508566,HAR185673,1050,Mike Harley,M.Harley,WR,https://static.www.nfl.com/image/private/{formatInstructions}/league/wch4fatbyhylrgfkgcw7,82,18,4,2,0,2,4,0,1.7705485349141128,4.9366666666666665,6.4125
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,home,4,2.9866993023508566,TIL377067,1050,Cedric Tillman,C.Tillman,WR,,89,35,3,2,0,2,3,0,4.145076624727685,5.153333333333333,13.853333333333337
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,home,5,2.9866993023508566,BEL269820,1050,David Bell,Dav.Bell,WR,https://static.www.nfl.com/image/private/{formatInstructions}/league/u5kz6ek80wxrl3s3ewxn,18,6,2,2,0,2,2,0,2.3665881362364236,11.41,2.485000000000003
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,visitor,1,2.9866993023508566,BRO826391,3430,Jason Brownlee,J.Brownlee,WR,,16,17,5,2,0,2,5,0,1.6702322496312445,5.226,11.74
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,visitor,2,2.9866993023508566,LUT282486,3430,T.J. Luther,T.Luther,WR,,85,0,3,0,0,0,3,0,1.0151899081996432,6.609999999999999,21.75666666666667
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,visitor,3,2.9866993023508566,YEB415291,3430,Kenny Yeboah,K.Yeboah,TE,https://static.www.nfl.com/image/private/{formatInstructions}/league/pyyu2tii1s4lbys5734k,88,13,2,2,0,2,2,0,6.632584864000044,6.01,3.2349999999999994
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,visitor,4,2.9866993023508566,JEN184122,3430,E.J. Jenkins,E.Jenkins,TE,,49,18,2,2,0,2,2,0,4.8638875016412815,6.17,2.215
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,visitor,5,2.9866993023508566,GIP576222,3430,Xavier Gipson,X.Gipson,WR,,82,0,2,0,0,0,2,0,1.2940373678815484,4.9,21.03
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,home,1,2.9866993023508566,NIX753522,3200,Tre Nixon,T.Nixon,WR,https://static.www.nfl.com/image/private/{formatInstructions}/league/uyfagrcohlcuksg4viw6,82,24,6,4,0,4,6,0,4.80974722334923,5.2283333333333335,4.993333333333332
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,home,2,2.9866993023508566,THO797153,3200,Tyquan Thornton,T.Thornton,WR,https://static.www.nfl.com/image/private/{formatInstructions}/league/p1kulrgf4v2grethuefi,11,31,2,2,0,2,2,0,2.33421877690101,6.155,12.030000000000001
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,home,3,2.9866993023508566,BOU482823,3200,Kayshon Boutte,K.Boutte,WR,https://static.www.nfl.com/image/private/{formatInstructions}/league/nz6t7jhx6erszovbv1bd,80,7,2,2,0,2,2,0,3.53142771697746,7.245,0.5899999999999963
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,home,4,2.9866993023508566,PIT624092,3200,Thyrick Pitts,T.Pitts,WR,,13,3,2,1,0,1,2,0,1.4631719813205932,8.91,12.369999999999997
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,home,5,2.9866993023508566,WAS724960,3200,Scotty Washington,S.Washington,TE,https://static.www.nfl.com/image/private/{formatInstructions}/league/a4nbs1gq4slgxil9kqb6,17,11,1,1,0,1,1,0,3.884855209657109,,4.630000000000003
