season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,league_average_receiver_separation,esb_id,team_id,player_name,short_name,position,headshot,jersey_number,rec_yards,targets,receptions,touchdowns,reception_info_receptions,reception_info_targets,reception_info_touchdowns,reception_info_avg_separation,reception_info_avg_cushion,reception_info_avg_air_yards
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,home,1,2.9866993023508566,LOV537190,1540,Dominic Lovett,D.Lovett,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fzxlfb3wl37vyzwfmbmk,19,31,9,5,0,5,9,0,2.853012418487185,6.358888888888889,9.037777777777778
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,home,2,2.9866993023508566,TES116936,1540,Isaac TeSlaa,I.TeSlaa,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wa4sruqazyqobmepi6vi,18,46,3,2,0,2,3,0,3.9178386568292627,6.3566666666666665,15.983333333333333
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,home,3,2.9866993023508566,KEE680560,1540,Jakobie Keeney-James,J.Keeney-James,WR,,80,0,1,0,0,0,1,0,0.1029563014098754,1.96,23.510000000000005
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,home,4,2.9866993023508566,MEE518623,1540,Jackson Meeks,J.Meeks,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pbwk9dsn0fiwkms8jqvc,83,5,1,1,0,1,1,0,2.252110121641477,8.08,4.299999999999997
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,home,5,2.9866993023508566,ZYL604524,1540,Shane Zylstra,S.Zylstra,TE,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jwgarjssm9bd9ek6cbhr,84,5,1,1,0,1,1,0,1.6417368851311098,,3.0
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,visitor,1,2.9866993023508566,CAM219717,4400,Dalevon Campbell,D.Campbell,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/z6te4vgazngtyenla5a2,38,12,3,1,0,1,3,0,2.0257323913107492,4.766666666666667,13.496666666666664
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,visitor,2,2.9866993023508566,FIT767415,4400,Dez Fitzpatrick,D.Fitzpatrick,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b5szqutw78xfg11j4z42,87,0,2,0,0,0,2,0,1.2347199333844827,1.605,6.030000000000001
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,visitor,3,2.9866993023508566,DIS743152,4400,Will Dissly,W.Dissly,TE,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b2s1wwxsgkenwlxmncu3,89,14,2,2,1,2,2,1,2.1502099050652457,3.0549999999999997,5.695
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,visitor,4,2.9866993023508566,LAM544943,4400,KeAndre Lambert-Smith,K.Lambert-Smith,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xhhzgylwh0ptvpaghnuu,84,43,2,2,1,2,2,1,1.626753862053901,1.6800000000000002,13.725
2025,PRE,0,2025073151,60115,07/31/2025,1540,DET,4400,LAC,visitor,5,2.9866993023508566,GAD727534,4400,Oronde Gadsden II,O.Gadsden,TE,https://static.www.nfl.com/image/upload/{formatInstructions}/league/r8b4oghjwhw8x9nv1wbs,86,7,1,1,0,1,1,0,1.2845621822239657,,5.129999999999999
2025,PRE,1,2025080751,60118,08/07/2025,0325,BAL,2200,IND,home,1,2.9866993023508566,WES648867,0325,LaJohntay Wester,L.Wester,WR,,83,41,3,2,0,2,3,0,0.8456914012971476,6.846666666666667,25.26
2025,PRE,1,2025080751,60118,08/07/2025,0325,BAL,2200,IND,home,2,2.9866993023508566,WAD341130,0325,Dayton Wade,D.Wade,WR,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jcebht4rbsgbwm5ujhxz,82,0,3,0,0,0,3,0,0.4729959180846699,6.21,10.783333333333331
