season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,esb_id,team_id,team_abbr,player_name,short_name,headshot,position,jersey_number,pass_yards,attempts,completions,interceptions,touchdowns
2026,PRE,0,2026080651,60450,08/06/2026,3800,AZ,0750,CAR,home,1,BEC122142,3800,AZ,Carson Beck,C.Beck,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yvybqpgnezk75h9rpobv,QB,19,188,19,15,0,1
2026,PRE,0,2026080651,60450,08/06/2026,3800,AZ,0750,CAR,visitor,1,KIN505883,0750,CAR,Haynes King,H.King,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qcloyq4ahyh0hfzo6i0i,QB,16,180,34,21,0,2
2026,PRE,1,2026081351,60451,08/13/2026,0920,CIN,1540,DET,home,1,JOH000001,0920,CIN,Josh Johnson,J.Johnson,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sijqkai2yy1cbw3rwndh,QB,11,84,19,10,0,0
2026,PRE,1,2026081351,60451,08/13/2026,0920,CIN,1540,DET,visitor,1,ALT577722,1540,DET,Luke Altmyer,L.Altmyer,https://static.www.nfl.com/image/upload/{formatInstructions}/league/eriopmdwcfjude1cptvi,QB,2,130,22,13,2,1
2026,PRE,1,2026081352,60452,08/13/2026,3900,PIT,1800,GB,home,1,ALL015451,3900,PIT,Drew Allar,D.Allar,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sphuqnfrtzwsgeugeycz,QB,16,153,13,10,0,2
2026,PRE,1,2026081352,60452,08/13/2026,3900,PIT,1800,GB,visitor,1,MCC549616,1800,GB,Kyle McCord,K.McCord,https://static.www.nfl.com/image/upload/{formatInstructions}/league/smdh2mmu457aammcblth,QB,18,102,16,12,0,0
2026,PRE,1,2026081353,60453,08/13/2026,3200,NE,2200,IND,home,1,DEV303010,3200,NE,Tommy DeVito,T.DeVito,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hb3m2zbfb5aprw6vdqx8,QB,16,138,22,13,0,1
2026,PRE,1,2026081353,60453,08/13/2026,3200,NE,2200,IND,visitor,1,LEO697925,2200,IND,Riley Leonard,R.Leonard,https://static.www.nfl.com/image/upload/{formatInstructions}/league/okxcrf19ylc0hwfefmwl,QB,15,89,21,10,1,0
2026,PRE,1,2026081354,60454,08/13/2026,2120,HOU,4400,LAC,home,1,MIL678397,2120,HOU,Davis Mills,D.Mills,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jh9e97vjzmeafx8jz0sn,QB,10,82,15,9,0,1
2026,PRE,1,2026081354,60454,08/13/2026,2120,HOU,4400,LAC,visitor,1,LAN016787,4400,LAC,Trey Lance,T.Lance,https://static.www.nfl.com/image/upload/{formatInstructions}/league/j3psmvvxo13kmbgi60ej,QB,5,164,20,12,1,0
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,home,1,MEN516487,2520,LV,Fernando Mendoza,F.Mendoza,https://static.www.nfl.com/image/upload/{formatInstructions}/league/umygvel2pumkyvxt3jm9,QB,15,97,16,10,0,1
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,visitor,1,MIN604610,3800,AZ,Gardner Minshew,G.Minshew,https://static.www.nfl.com/image/upload/{formatInstructions}/league/knlacyr7rqfkcxiriudj,QB,15,101,16,14,0,2
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,home,1,MAR776119,4500,SF,Adrian Martinez,A.Martinez,https://static.www.nfl.com/image/upload/{formatInstructions}/league/w0ehlpfwk70tqpswllwv,QB,4,159,30,16,0,0
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,visitor,1,WAR065305,2100,TEN,Cam Ward,C.Ward,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l7switu6stlwd2irm8yo,QB,1,57,12,5,0,0
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,home,1,RUS046607,0200,ATL,Cooper Rush,C.Rush,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mwrtykpswz7nbfisqlmj,QB,13,62,19,7,2,0
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,visitor,1,STI129837,1400,DEN,Jarrett Stidham,J.Stidham,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uzdn86skeienyyqxyiuw,QB,8,131,15,9,0,1
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,home,1,COO012674,3430,NYJ,Brady Cook,B.Cook,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sk8u7zzg7e3t4vu7xesg,QB,4,108,15,9,0,0
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,visitor,1,BAZ447419,4900,TB,Connor Bazelak,C.Bazelak,https://static.www.nfl.com/image/upload/{formatInstructions}/league/q3vgg2tiyhwnbnwpuc7o,QB,16,72,20,12,0,0
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,home,1,HAR733165,5110,WAS,Sam Hartman,S.Hartman,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mvpbrqp3o04zla5lzf7u,QB,15,80,15,8,1,0
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,visitor,1,MIL157171,2700,MIA,Cam Miller,C.Miller,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cmxq5676dl7nfub07rao,QB,15,39,11,3,2,0
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,home,1,ALL543234,0610,BUF,Kyle Allen,K.Allen,https://static.www.nfl.com/image/upload/{formatInstructions}/league/s3vbqdcoc6oc6yh460v9,QB,11,108,16,14,0,0
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,visitor,1,PIC777233,0750,CAR,Kenny Pickett,K.Pickett,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gw6lyiuevyuspfkglnmj,QB,12,92,19,16,0,1
2026,PRE,1,2026081552,60461,08/15/2026,0810,CHI,1050,CLE,home,1,BAG565656,0810,CHI,Tyson Bagent,T.Bagent,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ymimvligfyrucu0v3p6a,QB,17,169,22,13,1,1
2026,PRE,1,2026081552,60461,08/15/2026,0810,CHI,1050,CLE,visitor,1,WAT338355,1050,CLE,Deshaun Watson,D.Watson,https://static.www.nfl.com/image/private/{formatInstructions}/league/otfs2docj6eahaebo5xn,QB,4,126,15,11,0,0
2026,PRE,1,2026081553,60462,08/15/2026,3410,NYG,3000,MIN,home,1,WIN623708,3410,NYG,Jameis Winston,J.Winston,https://static.www.nfl.com/image/upload/{formatInstructions}/league/e5qyxnibbyawi0pvfpjl,QB,19,89,9,8,0,0
2026,PRE,1,2026081553,60462,08/15/2026,3410,NYG,3000,MIN,visitor,1,WEN615770,3000,MIN,Carson Wentz,C.Wentz,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vuolixdvigc8axelug66,QB,11,81,14,9,0,1
2026,PRE,1,2026081554,60463,08/15/2026,2310,KC,2510,LAR,home,1,NUS440041,2310,KC,Garrett Nussmeier,G.Nussmeier,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uyidfkzfhuqaks3pmdeo,QB,14,98,19,13,0,0
2026,PRE,1,2026081554,60463,08/15/2026,2310,KC,2510,LAR,visitor,1,SIM639376,2510,LAR,Ty Simpson,T.Simpson,,QB,15,190,25,21,0,2
