season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2025,POST,fastest_ball_carriers,1,2026011101,60167,272,272,(11:10) (Shotgun) S.Barkley right end pushed ob at SF 32 for 29 yards (M.Mustapha). PHI-F.Johnson was injured during the play.,2,play_type_rush,1,2,8,3700,11:10,PHI 39,39,PHI,49,2026-01-11T21:51:01.000Z,false,false,false,false,false,false,0,7,11:11,11:04,right,APPROVED,0,7,true,8.18,56.27,Saquon Barkley,Saquon,Barkley,S.Barkley,00-0034844,BAR192674,3700,PHI,26,RB,RB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qcayrzjpura2zydszonh,21.8659091395,45.98999999999999,29,,,
2025,POST,fastest_ball_carriers,2,2026011000,60164,3267,3267,(:33) (Shotgun) B.Young pass deep middle to J.Coker pushed ob at LA 9 for 52 yards (K.Kinchens).,2,play_type_pass,3,2,9,0750,00:33,CAR 39,39,CAR,71,2026-01-10T23:59:23.000Z,false,false,false,false,false,false,17,20,:34,:24,left,APPROVED,17,20,true,10.03,62.22,Jalen Coker,Jalen,Coker,J.Coker,00-0039491,COK451291,0750,CAR,18,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yynz8rxen6tsvhojggiv,20.740909137000003,73.81999999999998,52,,,
2025,POST,fastest_ball_carriers,3,2026011700,60170,3038,3038,(:38) J.Cook right end pushed ob at BUF 38 for 12 yards (R.Moss).,2,play_type_rush,3,1,10,0610,00:38,BUF 26,26,BUF,36,2026-01-17T23:50:33.000Z,false,false,false,false,false,false,23,17,:38,:33,right,APPROVED,23,17,false,10.0,45.78,James Cook,James,Cook,J.Cook,00-0037248,COO151970,0610,BUF,4,RB,RB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/anjbznqb9i21wzcgrtbs,20.3522727725,36.78999999999999,12,,,
2025,POST,fastest_ball_carriers,4,2026011700,60170,4690,4690,(7:55) (Shotgun) J.Allen pass deep right intended for B.Cooks INTERCEPTED by J.McMillian at DEN 20. J.McMillian to DEN 20 for no gain (B.Cooks).,2,play_type_pass,5,3,11,0610,07:55,BUF 36,36,BUF,74,2026-01-18T01:01:28.000Z,false,false,false,false,false,true,30,30,7:55,7:49,left,APPROVED,30,30,true,10.57,63.73,Ja'Quan McMillian,Ja'Quan,McMillian,J.McMillian,00-0037384,MCM604014,1400,DEN,29,CB,DB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kpgabuesfqci0swbrkem,20.127272772,43.79,0,,,
2025,POST,fastest_ball_carriers,5,2026011200,60169,2989,2989,(:44) (Shotgun) C.Stroud pass deep right to C.Kirk ran ob at PIT 36 for 46 yards (K.Dugger).,2,play_type_pass,3,3,15,2120,00:44,HOU 18,18,HOU,92,2026-01-13T03:29:09.000Z,false,false,false,false,false,false,6,7,:45,:37,left,APPROVED,6,7,true,15.08,76.79,Christian Kirk,Christian,Kirk,C.Kirk,00-0034775,KIR257918,2120,HOU,13,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ffp75mtwnqgrv0qz0txz,20.045454590000002,64.73,46,,,
2025,POST,fastest_sacks,1,2026011800,60172,2490,2490,"(7:32) M.Stafford sacked at LA 19 for -5 yards (D.Robinson). FUMBLES (D.Robinson) [D.Robinson], and recovers at LA 16.",2,play_type_sack,3,1,10,2510,07:32,LAR 24,24,LAR,86,2026-01-19T01:36:04.000Z,false,false,false,false,false,false,10,10,7:32,7:30,left,APPROVED,10,10,false,10.0,76.29,Dominique Robinson,Dominique,Robinson,D.Robinson,00-0037082,ROB404567,0810,CHI,90,DE,DL,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/nalbxnwyiyh32j3g6fml,,,,1.896,1.896,3.4346000000000005
2025,POST,fastest_sacks,2,2026011801,60173,3073,3073,"(8:16) (Shotgun) D.Maye sacked at NE 28 for -7 yards (W.Anderson). FUMBLES (W.Anderson), RECOVERED by HST-A.Al-Shaair at NE 35. A.Al-Shaair to NE 33 for 2 yards (G.Bradbury). NE-M.Moses was injured during the play.",2,play_type_sack,3,3,6,3200,08:16,NE 35,35,NE,75,2026-01-18T22:12:05.000Z,false,false,false,false,false,true,21,13,8:18,8:11,left,APPROVED,21,13,false,6.76,68.74,Will Anderson Jr.,William,Anderson,W.Anderson,00-0039108,AND627364,2120,HOU,51,DE,DL,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ar9k2r2btzzb10zc0xja,,,,2.47,3.519,4.301909090909091
2025,POST,fastest_sacks,3,2026011102,60168,3511,3511,(4:22) (Shotgun) J.Herbert sacked at LAC 25 for -8 yards (A.Jennings).,2,play_type_sack,4,3,1,4400,04:22,LAC 33,33,LAC,77,2026-01-12T03:52:01.000Z,false,false,false,false,false,false,16,3,4:22,4:20,left,APPROVED,16,3,false,1.98,76.28,Anfernee Jennings,Anfernee,Jennings,A.Jennings,00-0036193,JEN457643,3200,NE,33,OLB,LB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zgnsugvthxpb48ulv89u,,,,2.668,3.9545,4.428615384615385
2025,POST,fastest_sacks,4,2026011700,60170,2227,2227,"(14:18) (Shotgun) J.Allen sacked at BUF 14 for -11 yards (N.Bonitto). FUMBLES (N.Bonitto) [N.Bonitto], touched at BUF 15, RECOVERED by DEN-M.Roach at BUF 17.",2,play_type_sack,3,2,10,0610,14:18,BUF 25,25,BUF,35,2026-01-17T23:16:49.000Z,false,false,false,false,false,true,20,10,14:18,14:11,right,APPROVED,20,10,false,10.51,44.66,Nik Bonitto,Nik,Bonitto,N.Bonitto,00-0037249,BON490179,1400,DEN,15,OLB,LB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/azxinmsmz9kacbwfdfex,,,,2.72,2.72,5.118399999999999
2025,POST,fastest_sacks,5,2026011000,60164,593,593,(5:43) B.Young sacked at CAR 10 for -9 yards (P.Ford).,2,play_type_sack,1,1,10,0750,05:43,CAR 19,19,CAR,91,2026-01-10T21:57:12.000Z,false,false,false,false,false,false,0,7,5:43,5:41,left,APPROVED,0,7,false,10.0,81.31,Poona Ford,Kaylon,Ford,P.Ford,00-0034234,FOR313563,2510,LAR,95,NT,DL,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/emckafsx5psbs9pjhhpe,,,,2.908,2.908,4.048800000000001
2025,PRE,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,PRE,fastest_ball_carriers,1,2025082252,60149,1449,1449,"(5:24) (Shotgun) B.Allen pass short left to V.Jefferson for 65 yards, TOUCHDOWN.",2,play_type_pass,2,3,10,2100,05:24,TEN 35,35,TEN,45,2025-08-23T01:00:26.000Z,false,false,true,false,false,false,13,3,5:26,5:14,right,APPROVED,7,3,true,10.36,54.77,Van Jefferson,Vanchii,Jefferson,V.Jefferson,00-0036415,JEF436716,2100,TEN,11,WR,WR,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/inwxk1xlvzculj8m3pah,22.0704545945,75.60999999999997,65,,,
2025,PRE,fastest_ball_carriers,2,2025082254,60156,579,579,(8:51) (Shotgun) P.Mahomes pass deep left to T.Thornton to CHI 18 for 58 yards (J.Brisker).,2,play_type_pass,1,1,10,2310,08:51,KC 24,24,KC,34,2025-08-23T00:44:07.000Z,false,false,false,false,false,false,7,0,8:53,8:42,right,APPROVED,7,0,true,10.0,43.82,Tyquan Thornton,Tyquan,Thornton,T.Thornton,00-0038104,THO797153,2310,KC,2,WR,WR,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bjqzuempyiwxe0hl7e5a,21.5386364115,61.92999999999997,58,,,
2025,PRE,fastest_ball_carriers,3,2025082360,60150,2876,2876,"(:29) Z.Knight left tackle for 67 yards, TOUCHDOWN.",2,play_type_rush,3,1,10,3800,00:29,ARI 33,33,ARI,43,2025-08-24T04:11:50.000Z,false,false,true,false,false,false,16,10,:30,:19,right,APPROVED,10,10,true,10.0,52.23,Bam Knight,Zonovan,Knight,Z.Knight,00-0037157,KNI764772,3800,ARI,35,RB,RB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mjxnlzlnnwlfqayeybut,21.293181865500003,83.03999999999998,67,,,
2025,PRE,fastest_ball_carriers,4,2025082356,60155,1373,1373,(9:00) (Shotgun) J.Wright right tackle pushed ob at GB 4 for 61 yards (J.Baldwin).,2,play_type_rush,2,1,10,4600,09:00,SEA 35,35,SEA,75,2025-08-23T21:02:59.000Z,false,false,false,false,false,false,17,0,9:00,8:51,left,APPROVED,17,0,true,10.0,65.45,Jacardia Wright,Jacardia,Wright,J.Wright,00-0040067,WRI344516,4600,SEA,31,RB,RB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tp3d97gujpw7fkvn7gno,21.109090956000003,79.15000000000005,61,,,
2025,PRE,fastest_ball_carriers,5,2025080853,60127,40,40,"M.Gay kicks 65 yards from WAS 35 to NE 0. T.Henderson for 100 yards, TOUCHDOWN.",32,play_type_kickoff,1,0,0,5110,15:00,WAS 35,35,WAS,45,2025-08-08T23:36:28.000Z,true,false,true,false,false,true,6,0,15:00,14:49,right,APPROVED,0,0,true,,,TreVeyon Henderson,TreVeyon,Henderson,T.Henderson,00-0040734,HEN144466,3200,NE,32,RB,RB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ebcjvwytgu2y4kqm8ihv,21.0886364105,115.04999999999998,100,,,
2025,PRE,fastest_sacks,1,2025082359,60161,1665,1665,"(6:36) (Shotgun) C.Bradley sacked at SF 27 for -10 yards (M.Wax). FUMBLES (M.Wax) [M.Wax], RECOVERED by LAC-C.Murphy at SF 25.",2,play_type_sack,2,3,9,4500,06:36,SF 37,37,SF,47,2025-08-24T01:36:18.000Z,false,false,false,false,false,true,6,3,6:37,6:31,right,APPROVED,6,3,false,9.87,55.67,Marlowe Wax,Marlowe,Wax,M.Wax,00-0040460,WAX207645,4400,LAC,58,LB,LB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jolfhevlffwbwy6xbmu3,,,,2.542,3.774,4.7837
2025,PRE,fastest_sacks,2,2025081657,60135,287,287,"(11:25) (Shotgun) J.Milton sacked in End Zone for -3 yards, SAFETY (K.Martin).",2,play_type_sack,1,3,14,1200,11:25,DAL 3,3,DAL,13,2025-08-16T23:17:56.000Z,false,false,true,false,false,false,0,2,11:27,11:23,right,APPROVED,0,0,false,14.92,26.49,Keyon Martin,Keyon,Martin,K.Martin,00-0040636,MAR672631,0325,BAL,38,DB,DB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kuvtqhos7jfzxbvykdrh,,,,2.56,2.56,3.928
