season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2023,PRE,fastest_ball_carriers,3,2023081957,59471,2503,2503,(11:58) J.Chestnut right guard to MIN 4 for 55 yards (Th.Jackson). MIN-Th.Jackson was injured during the play.,2,play_type_rush,3,2,1,2100,11:58,TEN 41,41,TEN,51,2023-08-20T01:56:30.000Z,false,false,false,false,false,false,9,7,11:59,11:51,right,APPROVED,9,7,true,1.64,52.35,true,true,Julius Chestnut,Julius,Chestnut,J.Chestnut,00-0037594,CHE603251,2100,TEN,36,RB,RB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bkhv6hpjogvs5b31wwrs,21.600000048000002,65.24000000000001,55,,,
2023,PRE,fastest_ball_carriers,4,2023082553,59482,699,699,"(3:28) J.Kelley up the middle for 75 yards, TOUCHDOWN.",2,play_type_rush,1,2,4,4400,03:28,LAC 25,25,LAC,35,2023-08-26T02:31:20.000Z,false,false,true,false,false,false,6,6,3:29,3:18,right,APPROVED,6,0,true,4.54,38.72,true,true,Joshua Kelley,Joshua,Kelley,J.Kelley,00-0036370,KEL272420,4400,LAC,25,RB,RB,3,https://static.www.nfl.com/image/private/{formatInstructions}/league/fsu6gqcltgnofaakmq6u,21.4977273205,90.55999999999997,75,,,
2023,PRE,fastest_ball_carriers,5,2023081254,59457,1422,1422,(10:28) T.Bigsby right end pushed ob at JAX 46 for 34 yards (S.Redwine).,2,play_type_rush,2,1,10,2250,10:28,JAX 12,12,JAX,98,2023-08-12T21:59:04.000Z,false,false,false,false,false,false,0,8,10:28,10:21,left,APPROVED,0,8,true,10.0,88.09,true,true,Tank Bigsby,Cartavious,Bigsby,T.Bigsby,00-0038555,BIG732544,2250,JAX,4,RB,RB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vfkdjfpiyrcuzahrmfvn,21.436363684000003,53.30999999999998,34,,,
2023,PRE,fastest_sacks,1,2023081957,59471,1264,1264,"(12:39) (Shotgun) M.Willis sacked at TEN 30 for -5 yards (S.Day). FUMBLES (S.Day), and recovers at TEN 31. M.Willis to TEN 24 for -7 yards (I.Pace, L.Cine).",2,play_type_sack,2,1,10,2100,12:39,TEN 35,35,TEN,75,2023-08-20T00:55:17.000Z,false,false,false,false,false,false,3,7,12:40,12:31,left,APPROVED,3,7,false,10.0,65.67,true,true,Sheldon Day,Sheldon,Day,S.Day,00-0033010,DAY392066,3000,MIN,52,DT,DL,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cxw7fnka7letqbn7e1h3,,,,2.203,2.203,3.5450000000000004
2023,PRE,fastest_sacks,2,2023081952,59466,918,918,"(14:41) (Shotgun) S.Thompson sacked at MIA 15 for -11 yards (W.Anderson). FUMBLES (W.Anderson) [W.Anderson], and recovers at MIA 12.",2,play_type_sack,2,2,10,2700,14:41,MIA 26,26,MIA,36,2023-08-19T20:42:05.000Z,false,false,false,false,false,false,3,7,14:41,14:37,right,APPROVED,3,7,false,10.29,45.42,true,true,Will Anderson,William,Anderson,W.Anderson,00-0039108,AND627364,2120,HOU,51,DE,DL,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ar9k2r2btzzb10zc0xja,,,,2.336,2.336,3.780142857142857
2023,PRE,fastest_sacks,3,2023082653,59485,430,430,"(9:15) (Shotgun) C.Tune sacked at ARZ 11 for -10 yards (J.Ward). FUMBLES (J.Ward) [J.Ward], RECOVERED by MIN-T.Reeder at ARZ 5.",2,play_type_sack,1,3,6,3800,09:15,ARI 21,21,ARI,89,2023-08-26T17:21:20.000Z,false,false,false,false,false,true,7,0,9:16,9:11,left,APPROVED,7,0,false,6.86,82.94,true,true,Jay Ward,Jay,Ward,J.Ward,00-0038578,WAR199835,3000,MIN,20,CB,DB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dwljd5ukdc8pzy3l5vju,,,,2.636,2.636,3.5450000000000004
2023,PRE,fastest_sacks,4,2023081051,59446,250,250,(10:28) (Shotgun) B.Zappe sacked at HST 25 for -7 yards (D.Perryman).,2,play_type_sack,1,3,4,3200,10:28,HOU 18,18,HOU,92,2023-08-10T23:12:28.000Z,false,false,false,false,false,false,0,0,10:29,10:26,right,APPROVED,0,0,false,4.56,95.86,true,true,Denzel Perryman,Denzel,Perryman,D.Perryman,00-0032103,PER775462,2120,HOU,6,ILB,LB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/n3oqbsrycbe0nwdwblez,,,,2.669,2.669,3.780142857142857
2023,PRE,fastest_sacks,5,2023081252,59455,1624,1624,(5:22) K.Allen sacked at IND 44 for -10 yards (A.Muhammad).,2,play_type_sack,2,2,6,0610,05:22,IND 34,34,IND,44,2023-08-12T18:09:42.000Z,false,false,false,false,false,false,10,0,5:23,5:20,left,APPROVED,10,0,false,5.97,38.55,true,true,Al-Quadin Muhammad,Al-Quadin,Muhammad,A.Muhammad,00-0033964,MUH405540,2200,IND,97,DE,DL,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wlookhzmglrxdjx43l8n,,,,2.704,2.704,4.479454545454545
2023,PRE,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PRE,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
