season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_is_goal_to_go,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_ball_tracking_is_ok,leader_suffix
2017,PRE,fastest_ball_carriers,1,2017083165,57232,1229,1229,"(7:24) T.Baker punts 59 yards to SF 8, Center-M.Windt. V.Bolden for 92 yards, TOUCHDOWN.",2,play_type_punt,2,4,2,4400,07:24,LAC 33,33,LAC,43,2017-09-01T02:56:43.000Z,true,false,true,false,true,16,3,right,APPROVED,10,3,true,true,Victor Bolden,Victor,Bolden,V.Bolden,00-0033306,BOL278396,4500,SF,1,WR,WR,4,https://static.www.nfl.com/image/private/{formatInstructions}/league/kmdby2vcvsafzpkpsp5l,22.3568182315,116.64999999999996,92,,,,,,,,
2017,PRE,fastest_ball_carriers,2,2017081352,57180,839,839,"(1:11) (Shotgun) K.Clemens pass deep right to T.Benjamin for 74 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,4400,01:11,LAC 26,26,LAC,36,2017-08-14T00:41:46.034Z,false,false,true,false,false,13,10,right,APPROVED,7,10,true,true,Travis Benjamin,Travis,Benjamin,,00-0029269,BEN162218,4400,LAC,12,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/io9silocxbywvisvcvpx,22.152272776500002,82.60999999999999,74,,,,,,,,
2017,PRE,fastest_ball_carriers,3,2017081053,57174,629,629,B.McManus kicks 57 yards from DEN 35 to CHI 8. D.Thompson pushed ob at DEN 48 for 44 yards (C.Lewis-Harris).,32,play_type_kickoff,1,0,0,1400,07:02,DEN 35,35,DEN,75,2017-08-11T00:29:37.000Z,true,false,false,false,true,0,10,left,APPROVED,0,10,false,true,Deonte Thompson,Deonte,Thompson,,00-0029388,THO528909,0810,CHI,14,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/bvfgozqccoo627wuitkb,21.845454594,69.29999999999998,44,,,,,,,,
2017,PRE,fastest_ball_carriers,4,2017081253,57185,207,207,(12:19) (Shotgun) J.McCown pass deep right to R.Anderson to TEN 2 for 53 yards (K.Byard).,2,play_type_pass,1,2,11,3430,12:19,NYJ 45,45,NYJ,55,2017-08-12T23:42:02.000Z,false,false,false,false,false,0,0,right,APPROVED,0,0,true,true,Robby Anderson,Robby,Anderson,,00-0032688,AND460305,3430,NYJ,11,WR,WR,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kz2hbymqgrobo1uynciv,21.5386364115,59.37999999999999,53,,,,,,,,
2017,PRE,fastest_ball_carriers,5,2017082151,57201,130,130,"(13:18) B.Wing punts 52 yards to CLV 30, Center-Z.DeOssie. J.Peppers ran ob at NYG 39 for 31 yards (B.Wing).",2,play_type_punt,1,4,17,3410,13:18,NYG 18,18,NYG,92,2017-08-21T00:12:46.000Z,true,false,false,false,true,0,0,left,APPROVED,0,0,true,true,Jabrill Peppers,Jabrill,Peppers,J.Peppers,00-0033883,PEP420619,1050,CLE,22,DB,DB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ibsp6bicwpzoghc9mofe,21.518181866,83.81000000000003,31,,,,,,,,
2017,PRE,fastest_sacks,1,2017081954,57200,119,119,"(13:38) (Shotgun) C.Hackenberg sacked at NYJ 13 for -9 yards (C.Washington). FUMBLES (C.Washington), recovered by NYJ-J.Carpenter at NYJ 10. J.Carpenter to NYJ 10 for no gain (C.Washington).",2,play_type_sack,1,3,7,3430,13:38,NYJ 22,22,NYJ,32,2017-08-19T23:38:25.000Z,false,false,false,false,false,0,0,right,APPROVED,0,0,false,true,Cornelius Washington,Cornelius,Washington,C.Washington,00-0030048,WAS177649,1540,DET,90,DE,DL,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/tcd4na41tzlnk3uff4xw,,,,1.888,1.888,4.4944444444444445,,,,,
2017,PRE,fastest_sacks,2,2017081053,57174,4043,4043,(2:01) (Shotgun) K.Sloter sacked at CHI 41 for -5 yards (J.Timu).,2,play_type_sack,4,2,17,1400,02:01,CHI 36,36,CHI,74,2017-08-11T02:58:37.000Z,false,false,false,false,false,17,17,right,APPROVED,17,17,false,true,John Timu,John,Timu,,00-0031915,TIM755074,0810,CHI,53,ILB,LB,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/iglh93npg5miisj542tw,,,,2.091,3.572,3.794615384615385,,,,,
2017,PRE,fastest_sacks,3,2017081753,57194,3781,3781,"(15:00) (Shotgun) N.Peterman sacked at BUF 39 for -8 yards (A.McCalister). FUMBLES (A.McCalister), and recovers at BUF 42. N.Peterman to BUF 42 for no gain (N.Gerry).",2,play_type_sack,4,2,9,0610,15:00,BUF 47,47,BUF,57,2017-08-18T01:39:41.000Z,false,false,false,false,false,13,9,right,APPROVED,13,9,false,true,Alex McCalister,Alex,McCalister,A.McCalister,00-0032805,MCC057244,3700,PHI,50,DE,DL,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/tqvvppepuhhxriiqgy8l,,,,2.148,3.3825000000000003,4.059526315789474,,,,,
2017,PRE,fastest_sacks,4,2017081751,57186,2027,2027,"(:32) (Shotgun) J.Winston sacked at JAX 46 for -7 yards (D.Fowler). FUMBLES (D.Fowler), recovered by TB-A.Humphries at JAX 46.",2,play_type_sack,2,1,15,4900,00:32,JAX 39,39,JAX,49,2017-08-18T01:29:33.000Z,false,false,false,false,false,0,12,left,APPROVED,0,12,false,true,Dante Fowler,Dante,Fowler,D.Fowler,00-0032052,FOW382785,2250,JAX,56,DE,DL,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cp6ao2rf9siswpzctpt9,,,,2.168,2.168,3.7767500000000003,,,,,
2017,PRE,fastest_sacks,5,2017082656,57204,2530,2530,"(5:12) (Shotgun) C.Rush sacked at OAK 35 for -9 yards (A.Hamilton). FUMBLES (A.Hamilton), RECOVERED by OAK-L.Lewis at OAK 35. L.Lewis for 65 yards, TOUCHDOWN.",2,play_type_sack,3,2,5,1200,05:12,OAK 26,26,OAK,36,2017-08-27T02:07:01.000Z,false,false,true,false,true,10,19,left,APPROVED,10,13,false,true,Antonio Hamilton,Antonio,Hamilton,A.Hamilton,00-0032933,HAM184824,2520,OAK,32,CB,DB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jucipnhasypnasymoqxf,,,,2.29,2.29,4.916399999999999,,,,,
2017,PRE,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
