season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_season_avg,leader_team_avg,leader_time,play_is_goal_to_go,leader_suffix,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_short_name
2016,REG,fastest_ball_carriers,3,2016120409,57088,2340,2340,(14:15) (Shotgun) K.Cousins pass deep middle to D.Jackson to ARZ 5 for 59 yards (T.Branch). ARZ-C.Campbell was injured during the play.,2,play_type_pass,3,1,10,5110,14:15,WAS 36,36,WAS,74,2016-12-04T23:06:57.000Z,false,false,false,false,false,10,6,left,APPROVED,10,6,true,true,true,DeSean Jackson,DeSean,Jackson,00-0026189,JAC127681,5110,WAS,11,WR,WR,13,https://static.www.nfl.com/image/private/{formatInstructions}/league/pr5m864fqvnoozihylrh,22.6022727775,61.58,59,,,,false,,10.0,64.2,
2016,REG,fastest_ball_carriers,4,2016091813,56931,1730,1730,(2:36) S.Bradford pass deep right to S.Diggs to GB 32 for 44 yards (D.Randall).,2,play_type_pass,2,1,10,3000,02:36,MIN 24,24,MIN,86,2016-09-19T01:48:00.000Z,false,false,false,false,false,7,7,left,APPROVED,7,7,true,true,true,Stefon Diggs,Stefon,Diggs,00-0031588,DIG218895,3000,MIN,14,WR,WR,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cemcexmscsarpvwhafln,22.50000005,53.31000000000001,44,,,,false,,10.0,76.26,
2016,REG,fastest_ball_carriers,5,2016121808,57119,1966,1966,"(2:00) (Shotgun) D.Brees pass short right to B.Cooks for 45 yards, TOUCHDOWN.",2,play_type_pass,2,3,4,3300,02:00,ARI 45,45,ARI,55,2016-12-18T22:20:58.000Z,false,false,true,false,false,13,23,left,APPROVED,13,17,true,true,true,Brandin Cooks,Brandin,Cooks,00-0031236,COO299382,3300,NO,10,WR,WR,15,https://static.www.nfl.com/image/upload/{formatInstructions}/league/krz3gv9jjs92arlctvqf,22.3977273225,67.87000000000003,45,,,,false,,4.73,51.22,
2016,REG,fastest_sacks,1,2016100207,56957,2490,2490,"(7:46) (Shotgun) K.Cousins sacked at WAS 24 for -8 yards (C.Johnson). FUMBLES (C.Johnson) [C.Johnson], and recovers at WAS 23. K.Cousins to WAS 23 for no gain (C.Johnson).",2,play_type_sack,3,1,15,5110,07:46,WAS 32,32,WAS,42,2016-10-02T18:54:55.000Z,false,false,false,false,false,17,20,right,APPROVED,17,20,false,true,true,Cam Johnson,Cam,Johnson,00-0029310,JOH088779,1050,CLE,57,DE,DL,4,https://static.www.nfl.com/image/private/{formatInstructions}/league/gvgerbezhfgf91xbuaar,,,,3.9913333333333334,4.4349655172413796,1.815,false,,15.0,56.34,C.Johnson
2016,REG,fastest_sacks,2,2016121700,57110,605,605,"(4:22) (Shotgun) B.Petty sacked at MIA 23 for -9 yards (C.Wake). FUMBLES (C.Wake) [C.Wake], RECOVERED by MIA-N.Suh at MIA 25. N.Suh to MIA 25 for no gain (W.Johnson).",2,play_type_sack,1,3,4,3430,04:22,MIA 14,14,MIA,96,2016-12-18T01:47:53.000Z,false,false,false,false,true,7,0,right,APPROVED,7,0,false,true,true,Cameron Wake,Cameron,Wake,00-0023368,WAK155481,2700,MIA,91,DE,DL,15,https://static.www.nfl.com/image/private/{formatInstructions}/league/joxqiwlrpk7wwrwoibsl,,,,3.9882307692307695,4.489315789473683,2.059,false,,4.66,99.67,C.Wake
2016,REG,fastest_sacks,3,2016100206,56956,3801,3801,"(2:25) (No Huddle, Shotgun) R.Fitzpatrick sacked at NYJ 48 for -7 yards (C.Avril). FUMBLES (C.Avril) [C.Avril], recovered by NYJ-C.Peake at SEA 42. C.Peake for 42 yards, TOUCHDOWN.",2,play_type_sack,4,1,10,3430,02:25,SEA 45,45,SEA,55,2016-10-02T19:54:53.000Z,false,false,true,false,false,16,27,left,APPROVED,10,27,true,true,true,Cliff Avril,Cliff,Avril,00-0026232,AVR296636,4600,SEA,56,DE,DL,4,https://static.www.nfl.com/image/private/{formatInstructions}/league/nlca1f9zatmpmpgqcgob,,,,3.346461538461538,4.241446808510639,2.078,false,,10.0,45.68,
2016,REG,fastest_sacks,4,2016122410,57136,1826,1826,(1:15) R.Odhiambo reported in as eligible.  R.Wilson sacked at ARZ 8 for -7 yards (R.Gunter).,2,play_type_sack,2,4,1,4600,01:15,ARI 1,1,ARI,109,2016-12-24T22:46:36.000Z,false,false,false,false,true,0,14,right,APPROVED,0,14,true,true,true,Rodney Gunter,Rodney,Gunter,00-0032131,GUN730129,3800,ARI,95,NT,DL,16,https://static.www.nfl.com/image/private/{formatInstructions}/league/xxph3vvs0s0itu2r5pb1,,,,3.801,4.212862745098039,2.087,true,Jr.,0.38,110.0,
2016,REG,fastest_sacks,5,2016122401,57127,1870,1870,(1:56) (Shotgun) M.Ryan sacked at ATL 3 for -8 yards (K.Coleman).,2,play_type_sack,2,3,9,0200,01:56,ATL 11,11,ATL,21,2016-12-24T19:27:30.000Z,false,false,false,false,false,3,20,right,APPROVED,3,20,false,true,true,Kurt Coleman,Kurtis,Coleman,00-0027835,COL295827,0750,CAR,20,SS,DB,16,https://static.www.nfl.com/image/private/{formatInstructions}/league/hajqjgwcavi9umc2226x,,,,2.101,4.078254901960784,2.101,false,,10.1,29.12,
2016,REG,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
