season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_suffix
2019,REG,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,fastest_ball_carriers,1,2019100700,57977,247,247,"(13:28) M.Breida left guard for 83 yards, TOUCHDOWN.",2,play_type_rush,1,1,10,4500,13:28,SF 17,17,SF,27,2019-10-08T00:23:01.000Z,false,false,true,false,false,false,6,0,13:28,13:18,right,APPROVED,0,0,true,true,true,Matt Breida,Matthew,Breida,M.Breida,00-0033308,BRE256819,4500,SF,22,RB,RB,5,https://static.www.nfl.com/image/private/{formatInstructions}/league/rc4m1xw0xmtsrxswd0bg,22.295454595000002,98.51,83,,,,10.0,37.11,
2019,REG,fastest_ball_carriers,2,2019091511,57928,2545,2545,(6:01) (Shotgun) C.Patterson left end pushed ob at DEN 22 for 46 yards (J.Simmons).,2,play_type_rush,3,1,10,0810,06:01,CHI 32,32,CHI,78,2019-09-15T22:16:46.000Z,false,false,false,false,false,false,3,6,6:02,5:54,left,APPROVED,3,6,true,true,true,Cordarrelle Patterson,Cordarrelle,Patterson,C.Patterson,00-0030578,PAT387075,0810,CHI,84,WR,WR,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jktdrwmujfuqp94csnav,22.23,64.61000000000001,46,,,,10.0,68.63,
2019,REG,fastest_ball_carriers,3,2019101301,57980,36,36,"J.Tucker kicks 57 yards from BLT 35 to CIN 8. B.Wilson for 92 yards, TOUCHDOWN.",32,play_type_kickoff,1,0,0,0325,15:00,BAL 35,35,BAL,45,2019-10-13T17:02:44.000Z,true,false,true,false,false,true,0,6,15:00,14:49,right,APPROVED,0,0,true,true,true,Brandon Wilson,Brandon,Wilson,B.Wilson,00-0033791,WIL652475,0920,CIN,40,S,DB,6,https://static.www.nfl.com/image/private/{formatInstructions}/league/qivxnok733r3757ruzqy,22.0295455035,105.26000000000002,92,,,,,,
2019,REG,fastest_ball_carriers,4,2019092901,57950,3210,3210,"(9:47) N.Chubb right tackle for 88 yards, TOUCHDOWN.",2,play_type_rush,4,1,15,1050,09:47,CLE 12,12,CLE,22,2019-09-29T19:30:23.000Z,false,false,true,false,false,false,18,30,9:47,9:36,right,APPROVED,18,24,true,true,true,Nick Chubb,Nicholas,Chubb,N.Chubb,00-0034791,CHU033942,1050,CLE,24,RB,RB,4,https://static.www.nfl.com/image/upload/{formatInstructions}/league/h5y74trx6l8ivpkbmrkt,21.9477273215,105.11000000000003,88,,,,15.0,36.57,
2019,REG,fastest_ball_carriers,5,2019100600,57964,2504,2504,"(14:01) C.McCaffrey left guard for 84 yards, TOUCHDOWN.",2,play_type_rush,3,1,10,0750,14:01,CAR 16,16,CAR,94,2019-10-06T19:00:19.000Z,false,false,true,false,false,false,27,17,14:01,13:52,left,APPROVED,21,17,true,true,true,Christian McCaffrey,Christian,McCaffrey,C.McCaffrey,00-0033280,MCC035988,0750,CAR,22,RB,RB,5,https://static.www.nfl.com/image/upload/{formatInstructions}/league/st82s2ytyzanatcmkqck,21.9477273215,94.92000000000004,84,,,,10.0,84.4,
2019,REG,fastest_sacks,1,2019112407,58070,3650,3650,"(6:20) (Shotgun) J.Driskel sacked at DET 24 for -8 yards (M.Sweat). FUMBLES (M.Sweat) [M.Sweat], recovered by DET-G.Glasgow at DET 27. G.Glasgow to DET 30 for 3 yards (R.Anderson, S.Hamilton).",2,play_type_sack,4,3,5,1540,06:20,DET 32,32,DET,42,2019-11-24T20:46:04.000Z,false,false,false,false,false,false,13,16,6:21,6:15,right,APPROVED,13,16,false,true,true,Montez Sweat,Montez,Sweat,M.Sweat,00-0035647,SWE034375,5110,WAS,90,LB,LB,12,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lmaq9dyixaolzxleqb5e,,,,1.969,4.188375,4.630600000000001,6.15,46.69,
