season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2026,REG,fastest_ball_carriers,4,2026090900,60178,3409,3409,(6:42) D.Lock scrambles left tackle pushed ob at NE 3 for 14 yards (M.Jones).,2,play_type_rush,4,1,15,4600,06:42,NE 17,17,NE,93,2026-09-10T02:56:39.000Z,false,false,false,false,false,false,10,10,6:42,6:35,right,APPROVED,10,10,false,15.0,107.52,Drew Lock,Drew,Lock,D.Lock,00-0035704,LOC374482,4600,SEA,2,QB,QB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vdixnkk1uglfpwowalf8,18.940909133,48.06,14,,,
2026,REG,fastest_ball_carriers,5,2026090900,60178,2753,2753,(3:06) D.Maye pass short left to R.Stevenson pushed ob at NE 44 for 17 yards (E.Jones).,2,play_type_pass,3,1,15,3200,03:06,NE 27,27,NE,37,2026-09-10T02:31:20.000Z,false,false,false,false,false,false,3,10,3:06,2:59,right,APPROVED,3,10,false,15.0,51.73,Rhamondre Stevenson,Rhamondre,Stevenson,R.Stevenson,00-0036875,STE703131,3200,NE,38,RB,RB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zmpuirvuw4r04inxth5i,18.6340909505,43.970000000000006,17,,,
2026,REG,fastest_sacks,1,2026090900,60178,3944,3944,(:38) (Shotgun) D.Maye sacked at SEA 28 for -7 yards (D.Hall).,2,play_type_sack,4,1,10,3200,00:38,SEA 21,21,SEA,31,2026-09-10T03:21:46.000Z,false,false,false,false,false,false,13,10,:38,:34,left,APPROVED,13,10,false,10.0,21.12,Derick Hall,Derick,Hall,D.Hall,00-0039047,HAL274589,4600,SEA,58,OLB,LB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pblbd65bo6myp030qbes,,,,4.382,4.382,5.262333333333333
2026,REG,fastest_sacks,2,2026090900,60178,1277,1277,(7:42) D.Lock sacked at SEA 38 for -7 yards (G.Jacas).,2,play_type_sack,2,1,10,4600,07:42,SEA 45,45,SEA,65,2026-09-10T01:12:34.000Z,false,false,false,false,false,false,0,7,7:43,7:38,left,APPROVED,0,7,false,10.0,55.04,Gabe Jacas,Gabe,Jacas,G.Jacas,00-0041569,JAC003008,3200,NE,50,OLB,LB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/olnj7czbn0ul98o5nn61,,,,5.435,5.435,5.5975
2026,REG,fastest_sacks,3,2026090900,60178,3765,3765,(2:16) (Shotgun) D.Maye sacked ob at NE 43 for -2 yards (D.Thomas).,2,play_type_sack,4,2,17,3200,02:16,NE 45,45,NE,65,2026-09-10T03:09:41.000Z,false,false,false,false,false,false,13,10,2:16,2:11,left,APPROVED,13,10,false,17.34,48.36,Drake Thomas,Drake,Thomas,D.Thomas,00-0038922,THO119345,4600,SEA,32,ILB,LB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rmsrwh97imnsmq3lw1xm,,,,5.514,5.514,5.262333333333333
2026,REG,fastest_sacks,4,2026090900,60178,180,180,(12:27) (Shotgun) S.Darnold sacked at SEA 49 for -5 yards (D.Jones). SEA-S.Darnold was injured during the play.,2,play_type_sack,1,3,6,4600,12:27,NE 46,46,NE,64,2026-09-10T00:27:28.000Z,false,false,false,false,false,false,0,0,12:27,12:22,right,APPROVED,0,0,false,6.73,69.72,Dre'Mont Jones,Dre'Mont,Jones,D.Jones,00-0035678,JON263738,3200,NE,5,OLB,LB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/srvoexno6ilcwzm11vgv,,,,5.76,5.76,5.5975
2026,REG,fastest_sacks,5,2026090900,60178,3589,3589,(5:22) (Shotgun) D.Maye sacked at NE 16 for -1 yards (L.Williams).,2,play_type_sack,4,1,20,3200,05:22,NE 17,17,NE,93,2026-09-10T03:04:16.000Z,false,false,false,false,false,false,13,10,5:23,5:17,left,APPROVED,13,10,false,20.0,73.37,Leonard Williams,Leonard,Williams,L.Williams,00-0031933,WIL426411,4600,SEA,99,DT,DL,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jhaogtinjeyrwbjsvbl4,,,,5.891,5.891,5.262333333333333
2026,REG,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,REG,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
