season,row_count,generated_at_utc,source
2018,4862,2026-09-14 21:49:04 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,7502,2026-09-14 21:25:13 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,37529,2026-09-14 21:55:48 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,59615,2026-09-14 21:13:35 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,70573,2026-09-14 21:29:19 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,60366,2026-09-14 21:34:52 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,61202,2026-09-14 21:40:22 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
