season,row_count,generated_at_utc,source
2016,761,2026-09-10 03:20:06 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,759,2026-09-10 03:21:51 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,777,2026-09-10 03:23:35 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,755,2026-09-10 03:25:23 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,581,2026-09-10 03:27:12 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,763,2026-09-10 03:28:57 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,769,2026-09-10 03:30:47 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,769,2026-09-10 03:32:38 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,757,2026-09-10 01:46:38 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
