season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,category,side,esb_id,team_id,player_name,short_name,headshot,position,jersey_number,max_speed,gsis_play_id,tackle_info_time_to_tackle,pass_info_air_distance
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,pass_distance_leaders,home,THO744868,1050,Dorian Thompson-Robinson,D.ThompsonRobinson,,QB,17,,3264,,30.09901659523115
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,pass_distance_leaders,visitor,WIL827119,3430,Zach Wilson,Z.Wilson,https://static.www.nfl.com/image/private/{formatInstructions}/league/gr2wm3rg1bcgtpj58i7l,QB,2,,659,,50.83564202407598
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,speed_leaders,home,THO744868,1050,Dorian Thompson-Robinson,D.ThompsonRobinson,,QB,17,18.5931818595,3709,,
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,speed_leaders,visitor,TAY562175,3430,Malik Taylor,M.Taylor,https://static.www.nfl.com/image/private/{formatInstructions}/league/alwkf5orozddny7df17m,WR,86,20.168181863,659,,
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,time_to_sack_leaders,home,KUN021147,1050,Jordan Kunaszyk,J.Kunaszyk,https://static.www.nfl.com/image/private/{formatInstructions}/league/oelu5areahfpqecehtku,MLB,51,,367,5.839,
2023,PRE,0,2023080351,59445,08/03/2023,1050,CLE,3430,NYJ,time_to_sack_leaders,visitor,HUF090844,3430,Bryce Huff,B.Huff,https://static.www.nfl.com/image/private/{formatInstructions}/league/bcbes0y7lq38xdk8vi97,DE,47,,267,3.637,
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,pass_distance_leaders,home,ZAP470663,3200,Bailey Zappe,B.Zappe,https://static.www.nfl.com/image/private/{formatInstructions}/league/qr1opoisbs0vmu2pm8rz,QB,4,,542,,35.12191623473867
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,pass_distance_leaders,visitor,STR702090,2120,C.J. Stroud,C.Stroud,,QB,7,,421,,26.66192041095315
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,speed_leaders,home,MCS410965,3200,Trace McSorley,T.McSorley,https://static.www.nfl.com/image/private/{formatInstructions}/league/gfl6nhrkzshnhcsxfvqy,QB,19,18.736363678,2419,,
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,speed_leaders,visitor,SIM809106,2120,Steven Sims,S.Sims,https://static.www.nfl.com/image/private/{formatInstructions}/league/msetypjbcgzpwtsljzbd,WR,82,18.81818186,1169,,
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,time_to_sack_leaders,home,EKU059326,3200,Daniel Ekuale,D.Ekuale,https://static.www.nfl.com/image/private/{formatInstructions}/league/lj9dekf0gg90pljbtbiq,DT,95,,129,5.172,
2023,PRE,1,2023081051,59446,08/10/2023,3200,NE,2120,HOU,time_to_sack_leaders,visitor,PER775462,2120,Denzel Perryman,D.Perryman,https://static.www.nfl.com/image/private/{formatInstructions}/league/lykb4ka1vb11exmlycwh,ILB,6,,250,2.669,
2023,PRE,1,2023081052,59447,08/10/2023,4600,SEA,3000,MIN,pass_distance_leaders,home,LOC374482,4600,Drew Lock,D.Lock,https://static.www.nfl.com/image/private/{formatInstructions}/league/nkqhnr3mexaycazc3pin,QB,2,,3075,,34.23297240965207
